"gene_compare","gene","compare","uchar"
"ENSG00000101493 D5/D6","ENSG00000101493","D5/D6",1.33918578029959
"ENSG00000101546 D5/D6","ENSG00000101546","D5/D6",3.4653174721779
"ENSG00000101670 D5/D6","ENSG00000101670","D5/D6",7.89348877791403
"ENSG00000102699 D5/D6","ENSG00000102699","D5/D6",1.40883829046101
"ENSG00000103569 D5/D6","ENSG00000103569","D5/D6",2.58696912112223
"ENSG00000103942 D5/D6","ENSG00000103942","D5/D6",3.67248464349456
"ENSG00000104763 D5/D6","ENSG00000104763","D5/D6",5.07558449148294
"ENSG00000104907 D5/D6","ENSG00000104907","D5/D6",3.17853547341916
"ENSG00000105127 D5/D6","ENSG00000105127","D5/D6",2.7428087990582
"ENSG00000105248 D5/D6","ENSG00000105248","D5/D6",1.16903447377475
"ENSG00000105576 D5/D6","ENSG00000105576","D5/D6",0.909228286087239
"ENSG00000105642 D5/D6","ENSG00000105642","D5/D6",6.56856037993557
"ENSG00000105656 D5/D6","ENSG00000105656","D5/D6",2.63038772640546
"ENSG00000105755 D5/D6","ENSG00000105755","D5/D6",1.79729743770253
"ENSG00000105967 D5/D6","ENSG00000105967","D5/D6",14.5630280699596
"ENSG00000106624 D5/D6","ENSG00000106624","D5/D6",1.92941071654551
"ENSG00000106682 D5/D6","ENSG00000106682","D5/D6",0.888106285081896
"ENSG00000106771 D5/D6","ENSG00000106771","D5/D6",1.26426983371136
"ENSG00000107014 D5/D6","ENSG00000107014","D5/D6",4.07420745009041
"ENSG00000107249 D5/D6","ENSG00000107249","D5/D6",7.19814639383571
"ENSG00000107902 D5/D6","ENSG00000107902","D5/D6",3.70490258541356
"ENSG00000107957 D5/D6","ENSG00000107957","D5/D6",33.2739689180298
"ENSG00000108582 D5/D6","ENSG00000108582","D5/D6",4.54437199827796
"ENSG00000108784 D5/D6","ENSG00000108784","D5/D6",3.65977160397502
"ENSG00000109163 D5/D6","ENSG00000109163","D5/D6",6.97297210965533
"ENSG00000109670 D5/D6","ENSG00000109670","D5/D6",2.89009756812767
"ENSG00000109684 D5/D6","ENSG00000109684","D5/D6",1.20856528299717
"ENSG00000109814 D5/D6","ENSG00000109814","D5/D6",1.39424228238661
"ENSG00000110900 D5/D6","ENSG00000110900","D5/D6",28.0413737393615
"ENSG00000111481 D5/D6","ENSG00000111481","D5/D6",1.32504312016679
"ENSG00000111845 D5/D6","ENSG00000111845","D5/D6",0.791866443445523
"ENSG00000111961 D5/D6","ENSG00000111961","D5/D6",3.29128375638723
"ENSG00000112118 D5/D6","ENSG00000112118","D5/D6",1.51849646123195
"ENSG00000112651 D5/D6","ENSG00000112651","D5/D6",2.042673824257
"ENSG00000114251 D5/D6","ENSG00000114251","D5/D6",1.28942409786698
