"gene_compare","gene","compare","us"
"ENSG00000101493 D5/D6","ENSG00000101493","D5/D6",3.04463151948601
"ENSG00000101546 D5/D6","ENSG00000101546","D5/D6",3.04463151948601
"ENSG00000101670 D5/D6","ENSG00000101670","D5/D6",3.04463151948601
"ENSG00000102699 D5/D6","ENSG00000102699","D5/D6",3.04463151948601
"ENSG00000103569 D5/D6","ENSG00000103569","D5/D6",3.04463151948601
"ENSG00000103942 D5/D6","ENSG00000103942","D5/D6",3.04463151948601
"ENSG00000104763 D5/D6","ENSG00000104763","D5/D6",3.04463151948601
"ENSG00000104907 D5/D6","ENSG00000104907","D5/D6",3.04463151948601
"ENSG00000105127 D5/D6","ENSG00000105127","D5/D6",3.04463151948601
"ENSG00000105248 D5/D6","ENSG00000105248","D5/D6",3.04463151948601
"ENSG00000105576 D5/D6","ENSG00000105576","D5/D6",3.04463151948601
"ENSG00000105642 D5/D6","ENSG00000105642","D5/D6",3.04463151948601
"ENSG00000105656 D5/D6","ENSG00000105656","D5/D6",3.04463151948601
"ENSG00000105755 D5/D6","ENSG00000105755","D5/D6",3.04463151948601
"ENSG00000105967 D5/D6","ENSG00000105967","D5/D6",3.04463151948601
"ENSG00000106624 D5/D6","ENSG00000106624","D5/D6",3.04463151948601
"ENSG00000106682 D5/D6","ENSG00000106682","D5/D6",3.04463151948601
"ENSG00000106771 D5/D6","ENSG00000106771","D5/D6",3.04463151948601
"ENSG00000107014 D5/D6","ENSG00000107014","D5/D6",3.04463151948601
"ENSG00000107249 D5/D6","ENSG00000107249","D5/D6",3.04463151948601
"ENSG00000107902 D5/D6","ENSG00000107902","D5/D6",3.04463151948601
"ENSG00000107957 D5/D6","ENSG00000107957","D5/D6",3.04463151948601
"ENSG00000108582 D5/D6","ENSG00000108582","D5/D6",3.04463151948601
"ENSG00000108784 D5/D6","ENSG00000108784","D5/D6",3.04463151948601
"ENSG00000109163 D5/D6","ENSG00000109163","D5/D6",3.04463151948601
"ENSG00000109670 D5/D6","ENSG00000109670","D5/D6",3.04463151948601
"ENSG00000109684 D5/D6","ENSG00000109684","D5/D6",3.04463151948601
"ENSG00000109814 D5/D6","ENSG00000109814","D5/D6",3.04463151948601
"ENSG00000110900 D5/D6","ENSG00000110900","D5/D6",3.04463151948601
"ENSG00000111481 D5/D6","ENSG00000111481","D5/D6",3.04463151948601
"ENSG00000111845 D5/D6","ENSG00000111845","D5/D6",3.04463151948601
"ENSG00000111961 D5/D6","ENSG00000111961","D5/D6",3.04463151948601
"ENSG00000112118 D5/D6","ENSG00000112118","D5/D6",3.04463151948601
"ENSG00000112651 D5/D6","ENSG00000112651","D5/D6",3.04463151948601
"ENSG00000114251 D5/D6","ENSG00000114251","D5/D6",3.04463151948601
"ENSG00000114767 D5/D6","ENSG00000114767","D5/D6",3.04463151948601
"ENSG00000114948 D5/D6","ENSG00000114948","D5/D6",3.04463151948601
