"","library","sample","protocol","platform","lab","batch","rep","sample_rep","sequence_date"
"62","P_ILM_L1_B1_D5_2","D5","P","ILM","L1","P_ILM_L1_B1",2,"D5_2",20200602
"63","P_ILM_L1_B1_D5_3","D5","P","ILM","L1","P_ILM_L1_B1",3,"D5_3",20200602
"64","P_ILM_L1_B1_D6_1","D6","P","ILM","L1","P_ILM_L1_B1",1,"D6_1",20200602
"65","P_ILM_L1_B1_D6_2","D6","P","ILM","L1","P_ILM_L1_B1",2,"D6_2",20200602
"66","P_ILM_L1_B1_D6_3","D6","P","ILM","L1","P_ILM_L1_B1",3,"D6_3",20200602
"67","P_ILM_L1_B1_F7_1","F7","P","ILM","L1","P_ILM_L1_B1",1,"F7_1",20200602
"68","P_ILM_L1_B1_F7_2","F7","P","ILM","L1","P_ILM_L1_B1",2,"F7_2",20200602
"69","P_ILM_L1_B1_F7_3","F7","P","ILM","L1","P_ILM_L1_B1",3,"F7_3",20200602
"70","P_ILM_L1_B1_M8_1","M8","P","ILM","L1","P_ILM_L1_B1",1,"M8_1",20200602
"71","P_ILM_L1_B1_M8_2","M8","P","ILM","L1","P_ILM_L1_B1",2,"M8_2",20200602
"72","P_ILM_L1_B1_M8_3","M8","P","ILM","L1","P_ILM_L1_B1",3,"M8_3",20200602
"97","P_ILM_L6_B1_D5_1","D5","P","ILM","L6","P_ILM_L6_B1",1,"D5_1",20200612
"98","P_ILM_L6_B1_D5_2","D5","P","ILM","L6","P_ILM_L6_B1",2,"D5_2",20200612
"99","P_ILM_L6_B1_D5_3","D5","P","ILM","L6","P_ILM_L6_B1",3,"D5_3",20200612
"100","P_ILM_L6_B1_D6_1","D6","P","ILM","L6","P_ILM_L6_B1",1,"D6_1",20200612
"101","P_ILM_L6_B1_D6_2","D6","P","ILM","L6","P_ILM_L6_B1",2,"D6_2",20200612
"102","P_ILM_L6_B1_D6_3","D6","P","ILM","L6","P_ILM_L6_B1",3,"D6_3",20200612
"103","P_ILM_L6_B1_F7_1","F7","P","ILM","L6","P_ILM_L6_B1",1,"F7_1",20200612
"104","P_ILM_L6_B1_F7_2","F7","P","ILM","L6","P_ILM_L6_B1",2,"F7_2",20200612
"105","P_ILM_L6_B1_F7_3","F7","P","ILM","L6","P_ILM_L6_B1",3,"F7_3",20200612
"106","P_ILM_L6_B1_M8_1","M8","P","ILM","L6","P_ILM_L6_B1",1,"M8_1",20200612
"107","P_ILM_L6_B1_M8_2","M8","P","ILM","L6","P_ILM_L6_B1",2,"M8_2",20200612
"108","P_ILM_L6_B1_M8_3","M8","P","ILM","L6","P_ILM_L6_B1",3,"M8_3",20200612
"109","P_ILM_L8_B1_D5_1","D5","P","ILM","L8","P_ILM_L8_B1",1,"D5_1",20180928
"110","P_ILM_L8_B1_D5_2","D5","P","ILM","L8","P_ILM_L8_B1",2,"D5_2",20180928
"111","P_ILM_L8_B1_D5_3","D5","P","ILM","L8","P_ILM_L8_B1",3,"D5_3",20180928
"112","P_ILM_L8_B1_D6_1","D6","P","ILM","L8","P_ILM_L8_B1",1,"D6_1",20180928
"113","P_ILM_L8_B1_D6_2","D6","P","ILM","L8","P_ILM_L8_B1",2,"D6_2",20180928
"114","P_ILM_L8_B1_D6_3","D6","P","ILM","L8","P_ILM_L8_B1",3,"D6_3",20180928
"115","P_ILM_L8_B1_F7_1","F7","P","ILM","L8","P_ILM_L8_B1",1,"F7_1",20180928
"116","P_ILM_L8_B1_F7_2","F7","P","ILM","L8","P_ILM_L8_B1",2,"F7_2",20180928
"117","P_ILM_L8_B1_F7_3","F7","P","ILM","L8","P_ILM_L8_B1",3,"F7_3",20180928
"118","P_ILM_L8_B1_M8_1","M8","P","ILM","L8","P_ILM_L8_B1",1,"M8_1",20180928
"119","P_ILM_L8_B1_M8_2","M8","P","ILM","L8","P_ILM_L8_B1",2,"M8_2",20180928
"120","P_ILM_L8_B1_M8_3","M8","P","ILM","L8","P_ILM_L8_B1",3,"M8_3",20180928
"133","R_ILM_L2_B1_D5_1","D5","R","ILM","L2","R_ILM_L2_B1",1,"D5_1",20181110
"134","R_ILM_L2_B2_D5_1","D5","R","ILM","L2","R_ILM_L2_B2",1,"D5_1",20190129
"135","R_ILM_L2_B1_D5_2","D5","R","ILM","L2","R_ILM_L2_B1",2,"D5_2",20181110
"136","R_ILM_L2_B2_D5_2","D5","R","ILM","L2","R_ILM_L2_B2",2,"D5_2",20190129
"137","R_ILM_L2_B1_D5_3","D5","R","ILM","L2","R_ILM_L2_B1",3,"D5_3",20181110
"138","R_ILM_L2_B2_D5_3","D5","R","ILM","L2","R_ILM_L2_B2",3,"D5_3",20190129
"139","R_ILM_L2_B1_D6_1","D6","R","ILM","L2","R_ILM_L2_B1",1,"D6_1",20181110
"140","R_ILM_L2_B2_D6_1","D6","R","ILM","L2","R_ILM_L2_B2",1,"D6_1",20190129
"141","R_ILM_L2_B1_D6_2","D6","R","ILM","L2","R_ILM_L2_B1",2,"D6_2",20181110
"142","R_ILM_L2_B2_D6_2","D6","R","ILM","L2","R_ILM_L2_B2",2,"D6_2",20190129
"143","R_ILM_L2_B1_D6_3","D6","R","ILM","L2","R_ILM_L2_B1",3,"D6_3",20181110
"144","R_ILM_L2_B2_D6_3","D6","R","ILM","L2","R_ILM_L2_B2",3,"D6_3",20190129
"145","R_ILM_L2_B1_F7_1","F7","R","ILM","L2","R_ILM_L2_B1",1,"F7_1",20181110
"146","R_ILM_L2_B2_F7_1","F7","R","ILM","L2","R_ILM_L2_B2",1,"F7_1",20190129
"147","R_ILM_L2_B1_F7_2","F7","R","ILM","L2","R_ILM_L2_B1",2,"F7_2",20181110
"148","R_ILM_L2_B2_F7_2","F7","R","ILM","L2","R_ILM_L2_B2",2,"F7_2",20190129
"149","R_ILM_L2_B1_F7_3","F7","R","ILM","L2","R_ILM_L2_B1",3,"F7_3",20181110
"150","R_ILM_L2_B2_F7_3","F7","R","ILM","L2","R_ILM_L2_B2",3,"F7_3",20190129
"151","R_ILM_L2_B1_M8_1","M8","R","ILM","L2","R_ILM_L2_B1",1,"M8_1",20181110
"152","R_ILM_L2_B2_M8_1","M8","R","ILM","L2","R_ILM_L2_B2",1,"M8_1",20190129
"153","R_ILM_L2_B1_M8_2","M8","R","ILM","L2","R_ILM_L2_B1",2,"M8_2",20181110
"154","R_ILM_L2_B2_M8_2","M8","R","ILM","L2","R_ILM_L2_B2",2,"M8_2",20190129
"155","R_ILM_L2_B1_M8_3","M8","R","ILM","L2","R_ILM_L2_B1",3,"M8_3",20181110
"156","R_ILM_L2_B2_M8_3","M8","R","ILM","L2","R_ILM_L2_B2",3,"M8_3",20190129
"241","R_ILM_L8_B1_D5_1","D5","R","ILM","L8","R_ILM_L8_B1",1,"D5_1",20180928
"242","R_ILM_L8_B1_D5_2","D5","R","ILM","L8","R_ILM_L8_B1",2,"D5_2",20180928
"243","R_ILM_L8_B1_D5_3","D5","R","ILM","L8","R_ILM_L8_B1",3,"D5_3",20180928
"244","R_ILM_L8_B1_D6_1","D6","R","ILM","L8","R_ILM_L8_B1",1,"D6_1",20180928
"245","R_ILM_L8_B1_D6_2","D6","R","ILM","L8","R_ILM_L8_B1",2,"D6_2",20180928
"246","R_ILM_L8_B1_D6_3","D6","R","ILM","L8","R_ILM_L8_B1",3,"D6_3",20180928
"247","R_ILM_L8_B1_F7_1","F7","R","ILM","L8","R_ILM_L8_B1",1,"F7_1",20180928
"248","R_ILM_L8_B1_F7_2","F7","R","ILM","L8","R_ILM_L8_B1",2,"F7_2",20180928
"249","R_ILM_L8_B1_F7_3","F7","R","ILM","L8","R_ILM_L8_B1",3,"F7_3",20180928
"250","R_ILM_L8_B1_M8_1","M8","R","ILM","L8","R_ILM_L8_B1",1,"M8_1",20180928
"251","R_ILM_L8_B1_M8_2","M8","R","ILM","L8","R_ILM_L8_B1",2,"M8_2",20180928
"252","R_ILM_L8_B1_M8_3","M8","R","ILM","L8","R_ILM_L8_B1",3,"M8_3",20180928
