"gene","compare","gene_compare","ubb"
"ENSG00000067334","D5/D6","ENSG00000067334 D5/D6",25.8545244830028
"ENSG00000067334","M8/D6","ENSG00000067334 M8/D6",20.9559786775693
"ENSG00000067596","D5/D6","ENSG00000067596 D5/D6",0.263755823253334
"ENSG00000067596","M8/D6","ENSG00000067596 M8/D6",2.46773990842504
"ENSG00000068024","D5/D6","ENSG00000068024 D5/D6",2.80799536810375
"ENSG00000068024","F7/D6","ENSG00000068024 F7/D6",1.36121887184769
"ENSG00000068024","M8/D6","ENSG00000068024 M8/D6",5.06299094241582
"ENSG00000068097","F7/D6","ENSG00000068097 F7/D6",5.84319852101227
"ENSG00000069275","F7/D6","ENSG00000069275 F7/D6",7.61965481562095
"ENSG00000069275","M8/D6","ENSG00000069275 M8/D6",6.8451762158821
"ENSG00000069424","D5/D6","ENSG00000069424 D5/D6",3.75806567304909
"ENSG00000069424","F7/D6","ENSG00000069424 F7/D6",5.03700241587676
"ENSG00000070214","D5/D6","ENSG00000070214 D5/D6",6.86622739586215
"ENSG00000070214","M8/D6","ENSG00000070214 M8/D6",1.27750618195278
"ENSG00000070404","D5/D6","ENSG00000070404 D5/D6",12.3744736116615
"ENSG00000071282","F7/D6","ENSG00000071282 F7/D6",9.75867089222236
"ENSG00000071282","M8/D6","ENSG00000071282 M8/D6",23.5217520339198
"ENSG00000071553","F7/D6","ENSG00000071553 F7/D6",9.20391344573951
"ENSG00000072694","M8/D6","ENSG00000072694 M8/D6",2.73270931352049
"ENSG00000075399","D5/D6","ENSG00000075399 D5/D6",8.22086692276618
"ENSG00000075399","F7/D6","ENSG00000075399 F7/D6",7.2507912154377
"ENSG00000075407","D5/D6","ENSG00000075407 D5/D6",2.88626481422761
"ENSG00000075407","F7/D6","ENSG00000075407 F7/D6",9.24289567628905
"ENSG00000075407","M8/D6","ENSG00000075407 M8/D6",9.16293124986023
"ENSG00000075415","D5/D6","ENSG00000075415 D5/D6",6.63926176670221
"ENSG00000076248","M8/D6","ENSG00000076248 M8/D6",2.65533277763278
"ENSG00000077380","D5/D6","ENSG00000077380 D5/D6",4.15705924398596
"ENSG00000078070","F7/D6","ENSG00000078070 F7/D6",4.59459381169934
"ENSG00000078369","D5/D6","ENSG00000078369 D5/D6",4.87552750238673
"ENSG00000078369","F7/D6","ENSG00000078369 F7/D6",1.76153765012731
"ENSG00000078804","D5/D6","ENSG00000078804 D5/D6",5.62383178942705
"ENSG00000079215","D5/D6","ENSG00000079215 D5/D6",25.291043616137
"ENSG00000079215","M8/D6","ENSG00000079215 M8/D6",6.61409894314966
"ENSG00000079616","D5/D6","ENSG00000079616 D5/D6",9.89467549996667
"ENSG00000079616","F7/D6","ENSG00000079616 F7/D6",1.16703250308461
"ENSG00000079616","M8/D6","ENSG00000079616 M8/D6",18.7759436164422
"ENSG00000079819","D5/D6","ENSG00000079819 D5/D6",2.63932558386329
"ENSG00000079819","M8/D6","ENSG00000079819 M8/D6",10.2813565572851
"ENSG00000080603","F7/D6","ENSG00000080603 F7/D6",5.43663088636592
"ENSG00000080845","D5/D6","ENSG00000080845 D5/D6",11.1449125232925
"ENSG00000080845","M8/D6","ENSG00000080845 M8/D6",7.50645101179187
"ENSG00000081148","F7/D6","ENSG00000081148 F7/D6",10.117600578
"ENSG00000081148","M8/D6","ENSG00000081148 M8/D6",23.4126057667156
"ENSG00000083857","D5/D6","ENSG00000083857 D5/D6",12.0018566547189
"ENSG00000085514","D5/D6","ENSG00000085514 D5/D6",6.31207910331836
"ENSG00000085514","F7/D6","ENSG00000085514 F7/D6",7.00141815448552
"ENSG00000085514","M8/D6","ENSG00000085514 M8/D6",8.25649741421103
"ENSG00000085840","M8/D6","ENSG00000085840 M8/D6",8.24908878787664
"ENSG00000086061","D5/D6","ENSG00000086061 D5/D6",2.05351150821127
"ENSG00000086061","F7/D6","ENSG00000086061 F7/D6",4.18636797817705
"ENSG00000086062","D5/D6","ENSG00000086062 D5/D6",2.73766781733509
"ENSG00000086062","F7/D6","ENSG00000086062 F7/D6",2.09112409366145
"ENSG00000086062","M8/D6","ENSG00000086062 M8/D6",2.82398827469018
"ENSG00000086589","F7/D6","ENSG00000086589 F7/D6",9.25664899484398
"ENSG00000086589","M8/D6","ENSG00000086589 M8/D6",4.29929150456515
"ENSG00000086967","F7/D6","ENSG00000086967 F7/D6",9.42510906274492
"ENSG00000086967","M8/D6","ENSG00000086967 M8/D6",24.2996741298198
"ENSG00000087152","F7/D6","ENSG00000087152 F7/D6",4.23759383104467
"ENSG00000090621","D5/D6","ENSG00000090621 D5/D6",5.20387251526323
"ENSG00000090621","F7/D6","ENSG00000090621 F7/D6",6.06984823363966
"ENSG00000090621","M8/D6","ENSG00000090621 M8/D6",3.58891518587003
"ENSG00000090661","D5/D6","ENSG00000090661 D5/D6",3.39477095112374
"ENSG00000090661","M8/D6","ENSG00000090661 M8/D6",1.83408025818776
"ENSG00000090975","D5/D6","ENSG00000090975 D5/D6",11.3092620196557
"ENSG00000091136","F7/D6","ENSG00000091136 F7/D6",8.49498497688594
"ENSG00000093009","F7/D6","ENSG00000093009 F7/D6",8.52980027051529
"ENSG00000093009","M8/D6","ENSG00000093009 M8/D6",14.44783871105
