"","compare","meanFC","b1_slope","b0_intercept","n","s","sb1","t95_n","sig"
"1","D6/D5",0.989729776073159,0.000151575030026058,0.988401265515872,17,0.0173787783489041,0.0007197191497314,2.131,"FALSE"
"2","F7/D5",0.991371552429656,0.000171327088981269,0.989869920885055,17,0.0168667550402617,0.000698514380734386,2.131,"FALSE"
"3","M8/D5",1.00419287546188,8.01587107280789e-05,1.00349030793844,17,0.0184989882453305,0.000766111162909215,2.131,"FALSE"
