"","D5_U01_LE1","F7_U01_LE1","M8_U01_LE1","D5_U01_LE2","F7_U01_LE2","M8_U01_LE2","D5_U01_LE3","F7_U01_LE3","M8_U01_LE3","D5_U02_LE4","F7_U02_LE4","M8_U02_LE4","D5_U03_LE5","F7_U03_LE5","M8_U03_LE5","D5_U04_LE6","F7_U04_LE6","M8_U04_LE6","D5_U05_LE7","F7_U05_LE7","M8_U05_LE7","D5_U06_LE8","F7_U06_LE8","M8_U06_LE8","D5_U07_LE9","F7_U07_LE9","M8_U07_LE9","D5_U08_LE10","F7_U08_LE10","M8_U08_LE10","D5_U09_LE11","F7_U09_LE11","M8_U09_LE11","D5_U10_LE12","F7_U10_LE12","M8_U10_LE12","D5_U11_LE13","M8_U11_LE13","F7_U11_LE13","D5_U12_LE14","F7_U12_LE14","M8_U12_LE14","D5_U13_LE15","F7_U13_LE15","M8_U13_LE15","D5_U14_LE16","M8_U14_LE16","F7_U14_LE16","D5_U15_LE16","M8_U15_LE16","F7_U15_LE16","D5_U16_LE16","F7_U16_LE16","M8_U16_LE16"
"ENSG00000239951",-5.48977247155446,-6.94908434457539,-12.4554736545888,-4.98322553987577,-5.6451063893437,-5.284710330268,-4.79263440859344,-7.43832228023099,-12.4554736545888,-5.10350087511576,-6.53914988659939,-12.4554736545888,-5.10391245872359,-6.47236831812556,-6.09318437703319,-6.18369877680317,-5.28915689355452,-7.01486689451442,-5.44714364339401,-6.67532893945607,-6.74888784860705,-4.84056582152614,-12.4554736545888,-6.26645367191172,-3.54467204905001,-5.40260133861269,-12.4554736545888,-4.87426855247763,-6.04735454781079,-5.92517969405616,-5.34528269794658,-12.4554736545888,-6.16688253747632,-5.41427886814938,-5.82335378834347,-7.03870483341696,-5.33777757311255,-7.84003381484442,-5.33979634646848,-6.12189428135675,-6.7360519754862,-6.55295864918436,-5.22338375776623,-7.31881878344579,-6.56744645228903,-5.22130288731746,-7.52701805162497,-7.33872631502769,-5.05203975235189,-6.15344163563973,-6.63386292160247,-4.55354423135741,-5.83612374126853,-12.4554736545888
"ENSG00000211638",1.10285785156851,-4.9505354771417,4.40695304909408,1.58538553040689,-3.04913121814721,4.33173713840211,1.30227143249987,-8.50366247601255,4.30825593559108,1.50727788943175,-8.50366247601255,4.33192538090893,1.29953420253361,-6.30212270671816,4.52029309218799,1.57622026075138,-2.67402598813108,4.50911358675561,1.31772806477771,-8.50366247601255,4.80743508899957,1.48269356069047,-5.04202914946212,4.42984576532029,1.50757037124111,-8.50366247601255,4.4848852298765,1.73710572515092,-5.45093359133679,4.62516060858252,1.18954863552194,-2.67318149482652,4.74621984856313,1.36116778414125,-8.50366247601255,4.64681215743861,0.936574673511087,4.49280924730716,-4.09587467038819,1.49491258182689,-8.50366247601255,4.7130437681427,1.60240220697126,-3.96988734873399,4.46000042578229,1.24570468544623,4.7126929227355,-8.50366247601255,1.20612786000407,4.51892682225463,-8.50366247601255,1.50837620693532,-3.13276587179946,4.32768770356035
"ENSG00000253333",-2.61720641530278,2.50431052519468,-2.61720641530278,3.11042002616294,3.53388726828015,4.55678345839019,-2.61720641530278,-2.61720641530278,3.58656442257421,3.33629863203909,-2.61720641530278,-2.61720641530278,2.02494061151927,3.69845037910813,4.04769591753521,-2.61720641530278,-2.61720641530278,-2.61720641530278,-2.61720641530278,4.15071449431475,3.53137185104814,3.26928032618088,-2.61720641530278,-2.61720641530278,-2.61720641530278,4.39801682255757,3.73347646074457,-2.61720641530278,3.86426852482077,4.32335032705124,-2.61720641530278,3.95518307255262,-2.61720641530278,3.18258289372093,3.07505617135526,-2.61720641530278,-2.61720641530278,3.51549174354259,3.70349847713214,-2.61720641530278,4.21285998904987,-2.61720641530278,2.81159926989006,-2.61720641530278,3.37008943520555,3.05996070398675,-2.61720641530278,4.14598470107143,-2.61720641530278,3.91165553858689,3.83119241173552,4.00820143922364,-2.61720641530278,3.47442149382798
"ENSG00000230658",0.968917494368127,0.519058376985847,0.763305150671807,0.0266858454394368,0.635654082365147,0.990293317248777,0.0806176874880467,-0.152965732768443,0.158467665445996,1.06218636205851,1.34170511461915,0.481689054143967,0.693124457624357,0.817211415683317,1.17302613174166,-2.00569564149312,0.594645332919507,-0.185835477220123,0.259960737532106,1.32225130673821,-1.36080072540326,-0.394416618156763,0.0947443657139768,-0.865226686357493,0.660874674613827,1.12273876227121,0.512780483544187,0.501082122282317,-0.115259028384394,0.510417944091697,0.630821771626797,0.152230917919796,0.150649603972997,0.613909951931277,1.52802836375707,-1.04442240866796,0.524223936911217,1.08960485751041,-1.72817327607061,0.781941464398987,0.816653436943797,-0.205877887300193,-0.616251804114923,0.875449621680917,-0.0951698758075232,-0.937914021609723,-0.0396450466428933,0.417826669196537,1.60806316750257,-0.976290124531933,1.08485933049788,-0.419243951968113,-0.152805019034993,-0.539396158198953
"ENSG00000237525",-2.05091716484579,-2.05091716484579,-2.05091716484579,0.640900441704219,-0.676286446055672,-2.05091716484579,-2.05091716484579,-0.785862897772131,-2.05091716484579,-2.05091716484579,1.32367553895948,1.44116900087931,-2.05091716484579,0.824305485714039,-2.05091716484579,-2.05091716484579,0.0716239662391986,-2.05091716484579,-2.05091716484579,-2.05091716484579,-2.05091716484579,-0.0784348104569617,1.58019167032776,1.35812885466333,0.505775529154098,0.365694267371729,-0.552219565113242,-2.05091716484579,-2.05091716484579,-1.0415323669025,-2.05091716484579,-2.05091716484579,-2.05091716484579,-2.05091716484579,-0.343138268200431,1.04708950960928,0.0601512163142983,-2.05091716484579,-2.05091716484579,-2.05091716484579,0.942958616761419,-2.05091716484579,0.618217821416708,1.2758838767145,-2.05091716484579,-0.002090348581401,-2.05091716484579,-2.05091716484579,-2.05091716484579,0.667180088208659,0.574304735051109,-2.05091716484579,-2.05091716484579,-2.05091716484579
"ENSG00000183476",0.085427010319906,0.628761452200766,1.27184459118555,0.861301467113845,0.104495557354715,0.763767888143676,-0.0469388988870643,-2.21366941335104,-2.21366941335104,-2.21366941335104,-2.21366941335104,1.80157463984939,1.30106633844213,0.304548448904575,-2.21366941335104,-2.21366941335104,0.291096563151646,-2.21366941335104,-1.09390356245092,-0.297408329388205,0.186872778734456,-0.289186266525284,-2.21366941335104,0.740696492157655,-2.21366941335104,-0.194147179886564,0.590471687942805,0.145440226693816,-2.21366941335104,0.571618207059636,0.695251183423796,-0.799283041055465,0.708538008570355,-2.21366941335104,0.396257910329085,0.0638893636957958,-2.21366941335104,0.938289242599005,-2.21366941335104,-2.21366941335104,-0.607913114036585,1.51361219419431,-0.427795332464894,0.667949673247175,1.20969033347111,0.587530908498476,0.478824873854665,0.389157286411545,1.12145581127219,0.473018769639156,-0.511443457671104,1.17122601535977,1.60054749060436,1.00455575257943
"ENSG00000141858",0.449534848110068,-0.160874199613482,-0.363407133621592,0.326390270939099,0.0212352829793883,-0.356012741801481,0.189494975070349,-0.0335617624431315,-0.642708115876852,0.303425088469949,-0.0504983137772914,-0.396258442546822,0.253887376106609,0.162239956132158,-0.276308875436512,0.297039268856198,-0.174696334661252,-0.482102097265432,0.112476947785638,-0.255714635650712,-0.331050593673122,0.252944936379168,-0.0930759699724817,-0.156842236919301,0.162340455813418,0.124738818521989,-0.381141831778321,0.0881491470110181,-0.234875833722731,-0.426631637468612,0.183289221266908,0.00181502717745818,-0.414627159500112,0.306529218734219,-0.0936980684361117,-0.498843576537082,0.249857427494618,-0.264188709637332,-0.136954644174802,0.309168728736508,-0.0893405702088215,-0.125407742041442,0.557379780600549,-0.211474573021961,-0.567803047465091,0.275912355150949,-0.334457869314952,-0.140596360918062,0.346683607357618,-0.273741150297992,-0.044311291527082,0.407670525587928,-0.082778905981832,-0.212575302843781
"ENSG00000101230",-2.32765952900715,0.646465919181377,1.63685000438176,-2.32765952900715,-0.335797598450832,0.971101413651827,-2.32765952900715,-0.192354510629382,-2.32765952900715,0.128095093179038,0.427398949103527,-2.32765952900715,-2.32765952900715,-0.339938475322072,1.48272187594035,1.20635225573614,0.821437215172237,-2.32765952900715,0.418438214682848,1.71051323491153,0.656638154216068,-0.451997402233753,-2.32765952900715,1.05185053754591,-2.32765952900715,-2.32765952900715,0.769850140590878,1.01980770765195,0.0825458755606574,0.496884317396277,0.709634828259397,2.01964469967164,-2.32765952900715,0.538279075464748,1.03457187804305,0.932456480808018,0.831953511971708,-0.103279619140102,0.351696704533627,1.79693329639867,1.94768281669996,0.00172243728913735,1.74049532705715,-0.145412184032822,0.655762798836378,0.398626760713518,2.15181680758456,-0.218198669842213,-0.288801978986792,0.344788443297288,0.0386766749409277,-2.32765952900715,0.834260392004857,1.54100748405708
"ENSG00000157837",0.0775980345079446,-0.135267471329755,0.0215109323642442,0.0603630917077442,-0.110999134307145,-0.0695730474911556,0.118842948729524,-0.0224810743798356,0.0479392338312143,-0.0527875332848855,-0.178214628256196,-0.0301069948362356,0.0824817402374642,-0.339281424781416,-0.194812468956936,0.00999755208488429,-0.154553091896976,-0.256337607670646,-0.181641420101835,-0.347104355736146,-0.316926178405065,0.0151328335071246,-0.145733112014816,-0.0301473718749254,-0.0437658294595757,-0.440267175562175,-0.0190951306769156,-0.0273197877121456,-0.125381381620706,-0.121993273879926,-0.0927919631917655,-0.225266503142465,-0.0399966672105254,-0.109930183702666,-0.109849851525816,-0.215779078848676,-0.0638365712621258,-0.00285825275368579,-0.179239868040136,0.165242866163464,-0.0634751733798655,-0.00241564471861544,-0.0212787776854557,-0.201446745252376,-0.0827089681438755,0.0168500838340644,-0.00349699069883558,-0.181977412937996,-0.0575391067592954,0.0367339679760446,-0.218785413359006,-0.0563704843665658,-0.248189086364006,0.0812456016068346
"ENSG00000146066",-0.147488853170031,0.308755157454109,0.406470955025429,0.0515272520359291,0.311739339021489,0.197959977593679,-0.164642922552301,0.174782918391389,0.0552747115280994,-0.293957075709081,0.203341256114479,0.122174601100649,-0.233267634521371,0.403173129698779,0.101717538743019,-0.0197220742724209,0.0285688995624493,0.130769569668809,0.0735234018392594,0.252094842503699,0.365636537710339,-0.0604959391727506,0.147361328402409,0.0872736304032493,-0.139011811163721,0.269305286844819,0.116626944633009,-0.0490545630788013,0.149993692036869,0.199846463386969,0.117638689747579,0.178670588340599,0.433945617773729,-0.126573533069481,0.219055411773649,0.290692962701289,0.0830507095318387,0.0180648118115991,0.346389523973059,-0.0719012621404707,-0.139367643887671,-0.0153662822639813,0.256183007304949,0.136864673578829,0.290221862271299,-0.0960412017934411,0.293910273879939,0.461227203496499,0.0826129306789891,0.282079026578969,0.430118132776429,0.0781194297360095,0.259351529367909,0.0862593577137787
