"","gene","Freq","sample"
"188","ENSG00000105127",10,"D5"
"189","ENSG00000105137",10,"D5"
"190","ENSG00000105248",10,"D5"
"191","ENSG00000105327",10,"D5"
"193","ENSG00000105576",10,"D5"
"194","ENSG00000105642",10,"D5"
"195","ENSG00000105656",10,"D5"
"196","ENSG00000105662",10,"D5"
"197","ENSG00000105675",10,"D5"
"199","ENSG00000105755",10,"D5"
"200","ENSG00000105967",10,"D5"
"201","ENSG00000106336",10,"D5"
"203","ENSG00000106351",10,"D5"
"204","ENSG00000106479",10,"D5"
"205","ENSG00000106588",10,"D5"
"206","ENSG00000106624",10,"D5"
"207","ENSG00000106682",10,"D5"
"208","ENSG00000106771",10,"D5"
"209","ENSG00000106780",10,"D5"
"210","ENSG00000107014",10,"D5"
"211","ENSG00000107147",10,"D5"
"212","ENSG00000107249",10,"D5"
"213","ENSG00000107902",10,"D5"
"214","ENSG00000107957",10,"D5"
"215","ENSG00000108406",10,"D5"
"216","ENSG00000108509",10,"D5"
"217","ENSG00000108557",10,"D5"
"218","ENSG00000108582",10,"D5"
"219","ENSG00000108784",10,"D5"
"220","ENSG00000108785",10,"D5"
"221","ENSG00000108830",10,"D5"
"223","ENSG00000109163",10,"D5"
"225","ENSG00000109670",10,"D5"
"226","ENSG00000109684",10,"D5"
"227","ENSG00000109814",10,"D5"
"229","ENSG00000109943",10,"D5"
"231","ENSG00000110200",10,"D5"
"233","ENSG00000110422",10,"D5"
"234","ENSG00000110435",10,"D5"
"235","ENSG00000110665",10,"D5"
"236","ENSG00000110717",10,"D5"
"238","ENSG00000110900",10,"D5"
"239","ENSG00000111266",10,"D5"
"240","ENSG00000111445",10,"D5"
"241","ENSG00000111481",10,"D5"
"242","ENSG00000111832",10,"D5"
"243","ENSG00000111845",10,"D5"
"244","ENSG00000111850",10,"D5"
"245","ENSG00000111961",10,"D5"
"246","ENSG00000112118",10,"D5"
"247","ENSG00000112304",10,"D5"
"248","ENSG00000112305",10,"D5"
"249","ENSG00000112335",10,"D5"
"250","ENSG00000112651",10,"D5"
"251","ENSG00000113387",10,"D5"
"254","ENSG00000113905",10,"D5"
"256","ENSG00000114251",10,"D5"
"257","ENSG00000114767",10,"D5"
"258","ENSG00000114948",10,"D5"
"259","ENSG00000115053",10,"D5"
"260","ENSG00000115129",10,"D5"
"261","ENSG00000115204",10,"D5"
"262","ENSG00000115207",10,"D5"
"263","ENSG00000115234",10,"D5"
"264","ENSG00000115274",10,"D5"
"265","ENSG00000115306",10,"D5"
"266","ENSG00000115310",10,"D5"
"267","ENSG00000115339",10,"D5"
"268","ENSG00000115425",10,"D5"
"269","ENSG00000115541",10,"D5"
"270","ENSG00000115568",10,"D5"
"271","ENSG00000115850",10,"D5"
"272","ENSG00000115896",10,"D5"
"273","ENSG00000116062",10,"D5"
"274","ENSG00000116171",10,"D5"
"275","ENSG00000116209",10,"D5"
"276","ENSG00000116396",10,"D5"
"277","ENSG00000116489",10,"D5"
"278","ENSG00000116678",10,"D5"
"279","ENSG00000116871",10,"D5"
"280","ENSG00000116874",10,"D5"
"281","ENSG00000117009",10,"D5"
"282","ENSG00000117298",10,"D5"
"283","ENSG00000117362",10,"D5"
"284","ENSG00000117676",10,"D5"
"285","ENSG00000117748",10,"D5"
"286","ENSG00000118181",10,"D5"
"287","ENSG00000118200",10,"D5"
"288","ENSG00000118363",10,"D5"
"289","ENSG00000118503",10,"D5"
"290","ENSG00000118680",10,"D5"
"291","ENSG00000118976",10,"D5"
"292","ENSG00000119227",10,"D5"
"293","ENSG00000119242",10,"D5"
"294","ENSG00000119335",10,"D5"
"295","ENSG00000119431",10,"D5"
"296","ENSG00000119446",10,"D5"
"297","ENSG00000119608",10,"D5"
"298","ENSG00000119707",10,"D5"
"299","ENSG00000119729",10,"D5"
"300","ENSG00000119777",10,"D5"
"301","ENSG00000119801",10,"D5"
"302","ENSG00000119927",10,"D5"
"303","ENSG00000120370",10,"D5"
"304","ENSG00000120500",10,"D5"
"305","ENSG00000120533",10,"D5"
"306","ENSG00000120675",10,"D5"
"307","ENSG00000120694",10,"D5"
"308","ENSG00000120832",10,"D5"
"309","ENSG00000120942",10,"D5"
"310","ENSG00000120963",10,"D5"
"311","ENSG00000121281",10,"D5"
"312","ENSG00000121318",10,"D5"
"313","ENSG00000121350",10,"D5"
"314","ENSG00000121879",10,"D5"
"315","ENSG00000122026",10,"D5"
"317","ENSG00000122378",10,"D5"
"318","ENSG00000122545",10,"D5"
"319","ENSG00000122778",10,"D5"
"320","ENSG00000122912",10,"D5"
"321","ENSG00000122966",10,"D5"
"322","ENSG00000122970",10,"D5"
"323","ENSG00000123094",10,"D5"
"324","ENSG00000123154",10,"D5"
"325","ENSG00000123178",10,"D5"
"326","ENSG00000123268",10,"D5"
"327","ENSG00000123453",10,"D5"
"328","ENSG00000123485",10,"D5"
"329","ENSG00000123595",10,"D5"
"330","ENSG00000123609",10,"D5"
"332","ENSG00000123892",10,"D5"
"333","ENSG00000123933",10,"D5"
"334","ENSG00000124074",10,"D5"
"335","ENSG00000124097",10,"D5"
"336","ENSG00000124098",10,"D5"
"337","ENSG00000124120",10,"D5"
"338","ENSG00000124143",10,"D5"
"339","ENSG00000124155",10,"D5"
"340","ENSG00000124177",10,"D5"
"341","ENSG00000124181",10,"D5"
"342","ENSG00000124201",10,"D5"
"343","ENSG00000124224",10,"D5"
"344","ENSG00000124228",10,"D5"
"345","ENSG00000124422",10,"D5"
"347","ENSG00000124496",10,"D5"
"348","ENSG00000124541",10,"D5"
"349","ENSG00000124701",10,"D5"
"350","ENSG00000124789",10,"D5"
"351","ENSG00000124813",10,"D5"
"352","ENSG00000124942",10,"D5"
"353","ENSG00000125122",10,"D5"
"354","ENSG00000125149",10,"D5"
"355","ENSG00000125388",10,"D5"
"356","ENSG00000125484",10,"D5"
"357","ENSG00000125538",10,"D5"
"358","ENSG00000125630",10,"D5"
"359","ENSG00000125772",10,"D5"
"361","ENSG00000125827",10,"D5"
"362","ENSG00000125875",10,"D5"
"363","ENSG00000126001",10,"D5"
"364","ENSG00000126243",10,"D5"
"365","ENSG00000126261",10,"D5"
"366","ENSG00000126266",10,"D5"
"367","ENSG00000126458",10,"D5"
"368","ENSG00000126804",10,"D5"
"370","ENSG00000126883",10,"D5"
"371","ENSG00000127184",10,"D5"
"372","ENSG00000127314",10,"D5"
"373","ENSG00000127663",10,"D5"
"374","ENSG00000128050",10,"D5"
"375","ENSG00000128268",10,"D5"
"376","ENSG00000128482",10,"D5"
"377","ENSG00000128512",10,"D5"
"378","ENSG00000128683",10,"D5"
"379","ENSG00000128692",10,"D5"
"380","ENSG00000128917",10,"D5"
"381","ENSG00000129055",10,"D5"
"382","ENSG00000129194",10,"D5"
"383","ENSG00000129250",10,"D5"
"384","ENSG00000129355",10,"D5"
"385","ENSG00000129566",10,"D5"
"386","ENSG00000129757",10,"D5"
"387","ENSG00000129911",10,"D5"
"388","ENSG00000130175",10,"D5"
"389","ENSG00000130349",10,"D5"
"390","ENSG00000130449",10,"D5"
"391","ENSG00000130517",10,"D5"
"392","ENSG00000130684",10,"D5"
"393","ENSG00000130711",10,"D5"
"394","ENSG00000130768",10,"D5"
"395","ENSG00000130950",10,"D5"
"396","ENSG00000130985",10,"D5"
"397","ENSG00000131042",10,"D5"
"398","ENSG00000131089",10,"D5"
"399","ENSG00000131100",10,"D5"
"400","ENSG00000131187",10,"D5"
"401","ENSG00000131236",10,"D5"
"402","ENSG00000131398",10,"D5"
"403","ENSG00000131475",10,"D5"
"404","ENSG00000131558",10,"D5"
"405","ENSG00000131626",10,"D5"
"407","ENSG00000131876",10,"D5"
"408","ENSG00000132196",10,"D5"
"409","ENSG00000132321",10,"D5"
"410","ENSG00000132436",10,"D5"
"411","ENSG00000132570",10,"D5"
"412","ENSG00000132591",10,"D5"
"413","ENSG00000132773",10,"D5"
"414","ENSG00000132780",10,"D5"
"415","ENSG00000132823",10,"D5"
"416","ENSG00000132938",10,"D5"
"417","ENSG00000133069",10,"D5"
"418","ENSG00000133216",10,"D5"
"419","ENSG00000133226",10,"D5"
"420","ENSG00000133466",10,"D5"
"421","ENSG00000133639",10,"D5"
"422","ENSG00000133773",10,"D5"
"423","ENSG00000134297",10,"D5"
"424","ENSG00000134453",10,"D5"
"425","ENSG00000134508",10,"D5"
"426","ENSG00000134590",10,"D5"
"427","ENSG00000134802",10,"D5"
"428","ENSG00000134852",10,"D5"
"429","ENSG00000134884",10,"D5"
"431","ENSG00000135048",10,"D5"
"432","ENSG00000135070",10,"D5"
"433","ENSG00000135148",10,"D5"
"434","ENSG00000135341",10,"D5"
"435","ENSG00000135439",10,"D5"
"436","ENSG00000135452",10,"D5"
"437","ENSG00000135506",10,"D5"
"438","ENSG00000135596",10,"D5"
"439","ENSG00000135622",10,"D5"
"440","ENSG00000135837",10,"D5"
"441","ENSG00000135838",10,"D5"
"442","ENSG00000135914",10,"D5"
"443","ENSG00000136143",10,"D5"
"444","ENSG00000136379",10,"D5"
"445","ENSG00000136541",10,"D5"
"446","ENSG00000136861",10,"D5"
"447","ENSG00000136878",10,"D5"
"448","ENSG00000136936",10,"D5"
"449","ENSG00000137161",10,"D5"
"450","ENSG00000137218",10,"D5"
"451","ENSG00000137309",10,"D5"
"452","ENSG00000137404",10,"D5"
"454","ENSG00000137491",10,"D5"
"455","ENSG00000137936",10,"D5"
"456","ENSG00000138032",10,"D5"
"457","ENSG00000138035",10,"D5"
"458","ENSG00000138642",10,"D5"
"460","ENSG00000138780",10,"D5"
"461","ENSG00000139083",10,"D5"
"462","ENSG00000139437",10,"D5"
"463","ENSG00000139531",10,"D5"
"465","ENSG00000139973",10,"D5"
"466","ENSG00000139990",10,"D5"
"467","ENSG00000140153",10,"D5"
"468","ENSG00000140259",10,"D5"
"470","ENSG00000140463",10,"D5"
"471","ENSG00000140525",10,"D5"
"472","ENSG00000140612",10,"D5"
"473","ENSG00000140749",10,"D5"
"474","ENSG00000140853",10,"D5"
"475","ENSG00000140854",10,"D5"
"476","ENSG00000140939",10,"D5"
"477","ENSG00000141101",10,"D5"
"478","ENSG00000141337",10,"D5"
"479","ENSG00000141452",10,"D5"
"480","ENSG00000141560",10,"D5"
"481","ENSG00000141741",10,"D5"
"482","ENSG00000141858",10,"D5"
"483","ENSG00000141971",10,"D5"
"484","ENSG00000141994",10,"D5"
"486","ENSG00000142178",10,"D5"
"487","ENSG00000142327",10,"D5"
"488","ENSG00000142512",10,"D5"
"489","ENSG00000142556",10,"D5"
"490","ENSG00000142765",10,"D5"
"491","ENSG00000142784",10,"D5"
"492","ENSG00000143033",10,"D5"
"493","ENSG00000143179",10,"D5"
"494","ENSG00000143297",10,"D5"
"495","ENSG00000143303",10,"D5"
"496","ENSG00000143353",10,"D5"
"497","ENSG00000143393",10,"D5"
"498","ENSG00000143486",10,"D5"
"499","ENSG00000143493",10,"D5"
"500","ENSG00000143799",10,"D5"
"502","ENSG00000144161",10,"D5"
"503","ENSG00000144426",10,"D5"
"504","ENSG00000144524",10,"D5"
"505","ENSG00000144535",10,"D5"
"506","ENSG00000144635",10,"D5"
"507","ENSG00000144741",10,"D5"
"508","ENSG00000145041",10,"D5"
"509","ENSG00000145391",10,"D5"
"510","ENSG00000145687",10,"D5"
"511","ENSG00000145757",10,"D5"
"512","ENSG00000145780",10,"D5"
"514","ENSG00000145936",10,"D5"
"515","ENSG00000145949",10,"D5"
"516","ENSG00000146066",10,"D5"
"517","ENSG00000146205",10,"D5"
"519","ENSG00000146247",10,"D5"
"520","ENSG00000146282",10,"D5"
"521","ENSG00000146350",10,"D5"
"522","ENSG00000146426",10,"D5"
"523","ENSG00000146828",10,"D5"
"524","ENSG00000146856",10,"D5"
"525","ENSG00000147127",10,"D5"
"526","ENSG00000147202",10,"D5"
"527","ENSG00000147364",10,"D5"
"528","ENSG00000147403",10,"D5"
"530","ENSG00000148158",10,"D5"
"531","ENSG00000148204",10,"D5"
"532","ENSG00000148219",10,"D5"
"533","ENSG00000148290",10,"D5"
"534","ENSG00000148450",10,"D5"
"535","ENSG00000148483",10,"D5"
"537","ENSG00000148773",10,"D5"
"538","ENSG00000149054",10,"D5"
"540","ENSG00000149679",10,"D5"
"541","ENSG00000149809",10,"D5"
"542","ENSG00000149927",10,"D5"
"543","ENSG00000150867",10,"D5"
"544","ENSG00000150967",10,"D5"
"545","ENSG00000151353",10,"D5"
"546","ENSG00000151422",10,"D5"
"547","ENSG00000151466",10,"D5"
"548","ENSG00000151474",10,"D5"
"549","ENSG00000151503",10,"D5"
"550","ENSG00000151552",10,"D5"
"551","ENSG00000151611",10,"D5"
"553","ENSG00000151704",10,"D5"
"554","ENSG00000152253",10,"D5"
"555","ENSG00000152454",10,"D5"
"556","ENSG00000152778",10,"D5"
"557","ENSG00000153113",10,"D5"
"558","ENSG00000153250",10,"D5"
"560","ENSG00000154079",10,"D5"
"561","ENSG00000154645",10,"D5"
"562","ENSG00000154845",10,"D5"
"563","ENSG00000154957",10,"D5"
"564","ENSG00000154978",10,"D5"
"565","ENSG00000155307",10,"D5"
"566","ENSG00000155561",10,"D5"
"567","ENSG00000155592",10,"D5"
"568","ENSG00000155760",10,"D5"
"569","ENSG00000155792",10,"D5"
"570","ENSG00000155850",10,"D5"
"571","ENSG00000155970",10,"D5"
"572","ENSG00000156273",10,"D5"
