"gene","compare","gene_compare","ubb"
"ENSG00000067334","D5/D6","ENSG00000067334 D5/D6",79.1663161981236
"ENSG00000067334","M8/D6","ENSG00000067334 M8/D6",64.1670139909262
"ENSG00000067596","D5/D6","ENSG00000067596 D5/D6",1.91380577944255
"ENSG00000067596","M8/D6","ENSG00000067596 M8/D6",17.90586020301
"ENSG00000068024","D5/D6","ENSG00000068024 D5/D6",4.10756107631281
"ENSG00000068024","F7/D6","ENSG00000068024 F7/D6",1.99120330391424
"ENSG00000068024","M8/D6","ENSG00000068024 M8/D6",7.40618904184148
"ENSG00000068097","F7/D6","ENSG00000068097 F7/D6",14.9298788087214
"ENSG00000069275","F7/D6","ENSG00000069275 F7/D6",153.385065875863
"ENSG00000069275","M8/D6","ENSG00000069275 M8/D6",137.794667896567
"ENSG00000069424","D5/D6","ENSG00000069424 D5/D6",60.8920826019103
"ENSG00000069424","F7/D6","ENSG00000069424 F7/D6",81.6147438223824
"ENSG00000070214","D5/D6","ENSG00000070214 D5/D6",30.5639235545494
"ENSG00000070214","M8/D6","ENSG00000070214 M8/D6",5.68661639566429
"ENSG00000070404","D5/D6","ENSG00000070404 D5/D6",17.4655309455165
"ENSG00000071282","F7/D6","ENSG00000071282 F7/D6",3.77470198156159
"ENSG00000071282","M8/D6","ENSG00000071282 M8/D6",9.09832957713545
"ENSG00000071553","F7/D6","ENSG00000071553 F7/D6",121.125499546592
"ENSG00000072694","M8/D6","ENSG00000072694 M8/D6",22.5780624187203
"ENSG00000075399","D5/D6","ENSG00000075399 D5/D6",23.9386990428071
"ENSG00000075399","F7/D6","ENSG00000075399 F7/D6",21.1138935053079
"ENSG00000075407","D5/D6","ENSG00000075407 D5/D6",19.7217727887453
"ENSG00000075407","F7/D6","ENSG00000075407 F7/D6",63.1564669808825
"ENSG00000075407","M8/D6","ENSG00000075407 M8/D6",62.6100721243061
"ENSG00000075415","D5/D6","ENSG00000075415 D5/D6",141.326411007273
"ENSG00000076248","M8/D6","ENSG00000076248 M8/D6",17.5838536284467
"ENSG00000077380","D5/D6","ENSG00000077380 D5/D6",33.3812557965364
"ENSG00000078070","F7/D6","ENSG00000078070 F7/D6",34.419577657134
"ENSG00000078369","D5/D6","ENSG00000078369 D5/D6",181.446339397759
"ENSG00000078369","F7/D6","ENSG00000078369 F7/D6",65.5569183376494
"ENSG00000078804","D5/D6","ENSG00000078804 D5/D6",23.854985268709
"ENSG00000079215","D5/D6","ENSG00000079215 D5/D6",7.31263974663546
"ENSG00000079215","M8/D6","ENSG00000079215 M8/D6",1.91239727209183
"ENSG00000079616","D5/D6","ENSG00000079616 D5/D6",35.6269502245326
"ENSG00000079616","F7/D6","ENSG00000079616 F7/D6",4.20203865179277
"ENSG00000079616","M8/D6","ENSG00000079616 M8/D6",67.6050072227098
"ENSG00000079819","D5/D6","ENSG00000079819 D5/D6",7.28588835768388
"ENSG00000079819","M8/D6","ENSG00000079819 M8/D6",28.3818019648312
"ENSG00000080603","F7/D6","ENSG00000080603 F7/D6",65.5101423143284
"ENSG00000080845","D5/D6","ENSG00000080845 D5/D6",33.337333715273
"ENSG00000080845","M8/D6","ENSG00000080845 M8/D6",22.4537484591691
"ENSG00000081148","F7/D6","ENSG00000081148 F7/D6",2.81393773617672
"ENSG00000081148","M8/D6","ENSG00000081148 M8/D6",6.51158487244938
"ENSG00000083857","D5/D6","ENSG00000083857 D5/D6",0.723997905792879
"ENSG00000085514","D5/D6","ENSG00000085514 D5/D6",23.9408533158884
"ENSG00000085514","F7/D6","ENSG00000085514 F7/D6",26.5554221194116
"ENSG00000085514","M8/D6","ENSG00000085514 M8/D6",31.3157662096981
"ENSG00000085840","M8/D6","ENSG00000085840 M8/D6",10.6682943576307
"ENSG00000086061","D5/D6","ENSG00000086061 D5/D6",104.697114871139
"ENSG00000086061","F7/D6","ENSG00000086061 F7/D6",213.43958743423
"ENSG00000086062","D5/D6","ENSG00000086062 D5/D6",113.409792610346
"ENSG00000086062","F7/D6","ENSG00000086062 F7/D6",86.6262693680255
"ENSG00000086062","M8/D6","ENSG00000086062 M8/D6",116.985677567858
"ENSG00000086589","F7/D6","ENSG00000086589 F7/D6",122.941327262702
"ENSG00000086589","M8/D6","ENSG00000086589 M8/D6",57.1006423766214
"ENSG00000086967","F7/D6","ENSG00000086967 F7/D6",7.67630278984926
"ENSG00000086967","M8/D6","ENSG00000086967 M8/D6",19.7909281551421
"ENSG00000087152","F7/D6","ENSG00000087152 F7/D6",62.6765908661928
"ENSG00000090621","D5/D6","ENSG00000090621 D5/D6",170.555854510781
"ENSG00000090621","F7/D6","ENSG00000090621 F7/D6",198.938031091793
"ENSG00000090621","M8/D6","ENSG00000090621 M8/D6",117.625959225063
"ENSG00000090661","D5/D6","ENSG00000090661 D5/D6",35.4604818973716
"ENSG00000090661","M8/D6","ENSG00000090661 M8/D6",19.1581024847244
"ENSG00000090975","D5/D6","ENSG00000090975 D5/D6",5.99627142314006
"ENSG00000091136","F7/D6","ENSG00000091136 F7/D6",4.22706838426118
"ENSG00000093009","F7/D6","ENSG00000093009 F7/D6",11.198658024044
