"sample","gene","anova_p","mean_between","mean_intra","fdr"
"D5","ENSG00000058866",0.3667,-2.8319,-3.1215,0.9223
"D5","ENSG00000224707",0.2601,0.9415,0.6507,0.92
"D5","ENSG00000244617",0.6587,-1.9289,-2.2432,0.9786
"D5","ENSG00000157379",0.7052,1.6876,1.7152,0.9798
"D5","ENSG00000277662",0.5903,0.2149,-0.0187,0.9765
"D5","ENSG00000124097",0.8714,0.0402,-0.0252,0.9948
"D5","ENSG00000206808",0.9661,-3.816,-3.7547,0.9975
"D5","ENSG00000206903",0.6152,-5.6996,-5.017,0.9775
"D5","ENSG00000157456",0.7994,1.9752,1.9353,0.9948
"D5","ENSG00000229243",0.273,-5.8852,-6.6439,0.92
"D5","ENSG00000251792",0.0862,-3.8172,-6.6439,0.8981
"D5","ENSG00000251805",0.1139,0.6374,1.3225,0.92
"D5","ENSG00000254352",0.3004,0.178,0.7134,0.9223
"D5","ENSG00000226268",0.4675,-0.6436,-0.9832,0.9547
"D5","ENSG00000198056",0.7608,2.6164,2.6426,0.9887
"D5","ENSG00000116396",0.1812,2.1577,2.224,0.92
"D5","ENSG00000203814",0.7336,4.0792,4.1406,0.9855
"D5","ENSG00000215032",0.0072,1.0203,0.4597,0.6538
"D5","ENSG00000281179",0.4443,2.0785,1.8766,0.949
"D5","ENSG00000154645",0.8237,-4.0117,-4.2329,0.9948
"D5","ENSG00000232082",0.7785,-0.3292,-0.4075,0.9911
"D5","ENSG00000011295",0.611,2.8214,2.8967,0.9775
"D5","ENSG00000279583",0.6085,0.4996,1.0465,0.9775
"D5","ENSG00000243498",0.4413,-0.3543,-1.311,0.947
"D5","ENSG00000258137",0.1028,-3.9026,-5.467,0.9137
"D5","ENSG00000253456",0.8864,0.7283,0.7687,0.9948
"D5","ENSG00000205413",0.7525,3.6158,3.5769,0.9879
"D5","ENSG00000223156",0.4335,-4.5952,-3.4581,0.947
"D5","ENSG00000233044",0.1554,0.5361,0.079,0.92
"D5","ENSG00000280216",0.2099,0.2364,-0.4854,0.92
"D5","ENSG00000165406",0.2423,2.791,2.8595,0.92
"D5","ENSG00000162819",0.4887,2.5941,2.5233,0.9562
"D5","ENSG00000237073",0.6747,-0.45,-0.6491,0.9798
"D5","ENSG00000235904",0.1218,-5.0902,-6.6439,0.92
"D5","ENSG00000239713",0.8348,3.6435,3.6284,0.9948
"D5","ENSG00000237646",0.5427,-0.0161,-0.2372,0.9577
"D5","ENSG00000278816",0.1679,-1.5813,-3.5308,0.92
"D5","ENSG00000126804",0.1755,2.8065,3.2521,0.92
"D5","ENSG00000278399",0.2778,-3.8272,-5.2331,0.92
"D5","ENSG00000275854",0.1598,0.1273,0.6829,0.92
"D5","ENSG00000140612",0.6047,3.3986,3.4573,0.9775
"D5","ENSG00000252615",0.989,-3.0661,-3.0408,0.9976
"D5","ENSG00000221510",6e-04,-0.008,-4.3983,0.28
"D5","ENSG00000125122",0.2796,0.2191,0.0198,0.92
"D5","ENSG00000178201",0.5561,-0.2096,-0.0519,0.966
"D5","ENSG00000227290",0.5651,-1.3243,-1.6141,0.9701
"D5","ENSG00000170509",0.7455,-5.8508,-5.5847,0.9855
"D5","ENSG00000238009",0.6575,-5.1808,-5.7049,0.9786
"D5","ENSG00000146828",0.2914,1.9724,2.0628,0.9222
"D5","ENSG00000145757",0.6011,-2.6778,-2.9598,0.9775
"D5","ENSG00000270871",0.9839,2.6553,2.6579,0.9976
"D5","ENSG00000136936",0.4833,2.394,2.2885,0.9562
"D5","ENSG00000279278",0.8833,-0.7324,-0.7067,0.9948
"D5","ENSG00000262209",0.1224,-1.166,-0.791,0.92
"D5","ENSG00000265975",0.7894,0.1382,0.0379,0.9923
"D5","ENSG00000141452",0.6238,3.8201,3.7925,0.9775
"D5","ENSG00000168036",0.0898,3.2066,3.3229,0.8981
"D5","ENSG00000206715",0.0226,0.3201,-2.1844,0.741
"D5","ENSG00000130711",0.1733,-4.159,-2.7129,0.92
"D5","ENSG00000169188",0.1439,2.6118,2.4682,0.92
"D5","ENSG00000243686",0.2662,1.6641,0.5603,0.92
"D5","ENSG00000171492",0.3774,3.4369,3.5392,0.9223
"D5","ENSG00000265018",0.4935,2.4688,2.3816,0.9562
"D5","ENSG00000263766",0.8661,-0.1186,-0.1771,0.9948
"D5","ENSG00000160404",0.5764,0.0535,-0.0346,0.9722
"D5","ENSG00000244540",0.1998,-1.9504,-3.7515,0.92
"D5","ENSG00000273234",0.1948,-5.3963,-3.9747,0.92
"D5","ENSG00000228590",0.9519,-2.7626,-2.7134,0.9969
"D5","ENSG00000179141",0.8293,-4.91,-5.1066,0.9948
"D5","ENSG00000118503",0.8391,5.6951,5.7077,0.9948
"D5","ENSG00000121879",0.909,3.5245,3.5374,0.9948
"D5","ENSG00000070371",0.0606,-4.7508,-5.8755,0.896
"D5","ENSG00000260954",0.1777,-1.5771,-3.2232,0.92
"D5","ENSG00000279507",0.4971,1.2695,0.9355,0.9562
"D5","ENSG00000243871",0.4434,-1.3484,-2.4393,0.949
"D5","ENSG00000226977",0.7418,-0.2021,-0.4403,0.9855
"D5","ENSG00000196620",0.6684,-6.3287,-6.6439,0.9786
"D5","ENSG00000254838",0.1615,3.4754,3.3796,0.92
"D5","ENSG00000170430",0.644,1.8961,1.9518,0.9786
"D5","ENSG00000144741",0.0147,1.9681,2.1529,0.7209
"D5","ENSG00000110900",0.4166,-0.7843,-0.352,0.947
"D5","ENSG00000146856",0.6006,-0.2959,-0.3568,0.9775
"D5","ENSG00000112118",0.1621,4.7897,4.8732,0.92
"D5","ENSG00000057663",0.4882,1.5982,1.6917,0.9562
"D5","ENSG00000128917",0.3477,-1.6485,-1.9538,0.9223
"D5","ENSG00000239246",0.751,0.6804,0.5788,0.9875
"D5","ENSG00000181449",0.4446,-6.3545,-5.9274,0.949
"D5","ENSG00000227176",0.3405,0.1605,-0.1077,0.9223
"D5","ENSG00000141994",0.1397,2.9061,3.0658,0.92
"D5","ENSG00000166743",0.2815,-6.0408,-6.6439,0.92
"D5","ENSG00000271870",0.8985,2.7964,2.8466,0.9948
"D5","ENSG00000007384",0.7273,-1.7662,-1.7122,0.9848
"D5","ENSG00000105327",0.1082,2.6907,2.8505,0.92
