"sample","gene","anova_p","mean_between","mean_intra","fdr"
"D5","ENSG00000224566",0.0636,-2.1155,-4.9319,0.896
"D5","ENSG00000214940",0.8267,2.3195,2.2897,0.9948
"D5","ENSG00000145949",0.4804,-3.377,-3.0105,0.9562
"D5","ENSG00000167178",0.778,-4.9042,-4.6577,0.9911
"D5","ENSG00000100591",0.6972,4.1669,4.1325,0.9798
"D5","ENSG00000148773",0.2398,1.4649,1.3093,0.92
"D5","ENSG00000108784",0.4408,3.2958,3.4485,0.947
"D5","ENSG00000261774",0.7584,-4.8073,-4.3155,0.9887
"D5","ENSG00000110077",0.2305,-6.4943,-6.1035,0.92
"D5","ENSG00000100242",0.1494,4.0406,4.1573,0.92
"D5","ENSG00000124074",0.8666,1.7736,1.7442,0.9948
"D5","ENSG00000136143",0.2501,1.4718,1.583,0.92
"D5","ENSG00000165874",0.1977,-2.0905,-1.7039,0.92
"D5","ENSG00000254634",0.1604,2.5821,2.7116,0.92
"D5","ENSG00000207956",0.7276,-1.227,-0.7124,0.9848
"D5","ENSG00000236663",0.6396,-3.9723,-4.8787,0.9786
"D5","ENSG00000203799",0.976,-3.2255,-3.2345,0.9976
"D5","ENSG00000226890",0.3492,-1.6187,-0.7428,0.9223
"D5","ENSG00000133466",0.0711,1.471,1.6604,0.8981
"D5","ENSG00000247151",0.8902,-2.0189,-2.0887,0.9948
"D5","ENSG00000112651",0.2163,2.84,2.6914,0.92
"D5","ENSG00000244560",0.4697,-0.4942,-0.7544,0.9562
"D5","ENSG00000168826",0.839,1.058,1.0205,0.9948
"D5","ENSG00000088766",0.1243,2.0235,2.2378,0.92
"D5","ENSG00000280145",0.4412,-1.1855,-0.9564,0.947
"D5","ENSG00000211840",0.7291,-1.7366,-2.3747,0.9855
"D5","ENSG00000272465",0.3551,-3.2505,-1.9856,0.9223
"D5","ENSG00000244052",0.4508,-2.7082,-2.0506,0.9503
"D5","ENSG00000160991",0.0965,3.472,3.5772,0.9014
"D5","ENSG00000065717",0.4609,-4.1875,-4.8024,0.9503
"D5","ENSG00000256314",0.7767,-0.0529,-0.1853,0.9911
"D5","ENSG00000248152",0.9535,1.7815,1.791,0.9969
"D5","ENSG00000276957",0.6576,-5.5522,-4.9591,0.9786
"D5","ENSG00000145936",0.816,-4.952,-4.7813,0.9948
"D5","ENSG00000271555",0.4818,-1.6533,-0.6959,0.9562
"D5","ENSG00000199592",0.957,-4.5124,-4.4192,0.9969
"D5","ENSG00000105248",0.6661,3.9773,3.945,0.9786
"D5","ENSG00000123892",0.5707,2.659,2.7704,0.9713
"D5","ENSG00000259015",0.2249,0.6156,1.0432,0.92
"D5","ENSG00000100744",0.0111,1.0403,1.4939,0.6938
"D5","ENSG00000077380",0.5079,2.8457,2.7891,0.9562
"D5","ENSG00000099139",0.9527,-6.0305,-6.0535,0.9969
"D5","ENSG00000265462",0.299,1.9018,2.3768,0.9223
"D5","ENSG00000204220",0.5521,2.3186,2.3884,0.9651
"D5","ENSG00000171490",0.6051,5.0167,4.9903,0.9775
"D5","ENSG00000170667",0.8452,1.3276,1.2797,0.9948
"D5","ENSG00000153250",0.2666,-1.9433,-2.1272,0.92
"D5","ENSG00000237938",0.8958,0.3384,0.3084,0.9948
"D5","ENSG00000236792",0.0201,-6.6439,-6.6439,0.7321
"D5","ENSG00000233509",0.6854,-1.295,-1.0362,0.9798
"D5","ENSG00000199933",0.8102,-3.8114,-3.4089,0.9948
"D5","ENSG00000283980",0.3031,-3.3955,-1.7605,0.9223
"D5","ENSG00000207281",0.7063,-3.0162,-2.3613,0.9798
"D5","ENSG00000141560",0.2406,1.6112,2.0244,0.92
"D5","ENSG00000254003",0.0657,0.5321,0.0389,0.896
"D5","ENSG00000228063",0.6485,-3.465,-2.7172,0.9786
"D5","ENSG00000273496",0.8947,-1.1443,-1.0158,0.9948
"D5","ENSG00000186111",0.9758,2.1563,2.1586,0.9976
"D5","ENSG00000174886",0.5004,2.8235,2.7363,0.9562
"D5","ENSG00000101421",0.4645,4.7083,4.6542,0.9535
"D5","ENSG00000206652",0.7482,5.8114,5.715,0.987
"D5","ENSG00000252975",0.7424,0.6456,0.9263,0.9855
"D5","ENSG00000222145",0.603,-0.9536,-0.2855,0.9775
"D5","ENSG00000049541",0.8276,3.304,3.3411,0.9948
"D5","ENSG00000272130",0.9424,-1.2172,-1.1418,0.9969
"D5","ENSG00000231327",0.9897,-1.1132,-1.1065,0.9976
"D5","ENSG00000201736",0.5261,-1.3277,-2.3157,0.9562
"D5","ENSG00000268643",0.9861,-5.2256,-5.2008,0.9976
"D5","ENSG00000167608",0.8267,-2.0866,-2.1846,0.9948
"D5","ENSG00000184792",0.4138,-1.1112,-1.2588,0.947
"D5","ENSG00000261242",0.1689,-1.9264,-1.1562,0.92
"D5","ENSG00000269481",0.0439,2.5187,2.0539,0.8608
"D5","ENSG00000223225",0.3274,-2.1907,-0.626,0.9223
"D5","ENSG00000246089",0.9024,1.0808,1.1072,0.9948
"D5","ENSG00000250116",0.9549,2.1031,2.0956,0.9969
"D5","ENSG00000238685",0.8123,1.9534,2.0462,0.9948
"D5","ENSG00000226360",0.0886,-0.2536,0.3099,0.8981
"D5","ENSG00000134453",0.3562,2.7373,2.7996,0.9223
"D5","ENSG00000057935",0.9283,1.4922,1.5004,0.9948
"D5","ENSG00000100422",0.0722,2.932,3.0369,0.8981
"D5","ENSG00000154845",0.1282,1.9428,2.0473,0.92
"D5","ENSG00000267501",0.0832,0.3039,0.8353,0.8981
"D5","ENSG00000142327",0.5018,3.0949,3.2247,0.9562
"D5","ENSG00000123268",0.5371,3.5226,3.466,0.9562
"D5","ENSG00000132823",0.7859,4.0749,4.0602,0.9922
"D5","ENSG00000109943",0.7945,-2.549,-2.3772,0.9942
"D5","ENSG00000198646",0.2406,2.3377,2.2443,0.92
"D5","ENSG00000234694",0.6737,-1.9023,-1.497,0.9798
"D5","ENSG00000070061",0.0151,3.3533,3.5083,0.7209
"D5","ENSG00000166257",0.3713,-2.1549,-2.3379,0.9223
"D5","ENSG00000189316",0.4536,-2.9499,-3.8544,0.9503
"D5","ENSG00000233382",0.5144,0.5619,0.6884,0.9562
"D5","ENSG00000241404",0.5003,-2.313,-1.6957,0.9562
"D5","ENSG00000151353",0.2857,1.3799,1.4777,0.92
"D5","ENSG00000259438",0.7779,-2.3399,-2.0664,0.9911
"D5","ENSG00000100852",0.4694,2.22,2.1147,0.9562
"D5","ENSG00000204673",0.6461,3.0358,2.9859,0.9786
"D5","ENSG00000276282",0.4353,-0.4941,-0.0562,0.947
"D5","ENSG00000250673",0.3979,-3.0924,-3.8766,0.9284
"D5","ENSG00000145391",0.1663,1.8238,1.7561,0.92
"D5","ENSG00000260719",0.8746,-0.5489,-0.5062,0.9948
"D5","ENSG00000135148",0.1149,3.9567,4.0778,0.92
"D5","ENSG00000136379",0.0318,1.0054,1.2254,0.8051
"D5","ENSG00000207963",0.263,0.0554,-1.09,0.92
"D5","ENSG00000165757",0.9237,-6.3052,-6.2725,0.9948
"D5","ENSG00000204138",0.095,2.6087,2.3373,0.8981
"D5","ENSG00000200563",0.3468,-2.6107,-4.1227,0.9223
"D5","ENSG00000255302",0.6776,4.2521,4.204,0.9798
"D5","ENSG00000239350",0.9517,-2.6583,-2.7553,0.9969
"D5","ENSG00000214338",0.3492,-5.9174,-6.6439,0.9223
"D5","ENSG00000205978",0.5999,-5.3694,-5.6638,0.9775
"D5","ENSG00000252153",0.3939,0.3774,0.7491,0.9267
"D5","ENSG00000114251",0.8892,2.7861,2.7756,0.9948
"D5","ENSG00000284934",0.2343,-3.0488,-1.8052,0.92
"D5","ENSG00000162804",0.9858,0.422,0.4242,0.9976
"D5","ENSG00000123933",0.0061,1.9945,2.1882,0.6538
"D5","ENSG00000131475",0.2898,4.0265,3.9503,0.9217
"D5","ENSG00000177173",0.1404,4.3614,4.5143,0.92
"D5","ENSG00000262533",0.7014,0.6574,0.4772,0.9798
"D5","ENSG00000111961",0.4878,-1.9517,-1.8359,0.9562
"D5","ENSG00000251634",0.1936,2.4612,2.3305,0.92
"D5","ENSG00000199691",0.2496,0.8464,1.4163,0.92
"D5","ENSG00000163312",0.6002,2.3139,2.2448,0.9775
"D5","ENSG00000090661",0.4278,3.1806,3.1099,0.947
"D5","ENSG00000106624",0.1577,0.3027,0.5849,0.92
"D5","ENSG00000115274",0.5076,2.8956,3.0967,0.9562
"D5","ENSG00000279716",0.9922,2.6962,2.6978,0.9976
"D5","ENSG00000105755",0.3782,3.2208,3.3197,0.9223
"D5","ENSG00000233270",0.6169,-2.3956,-1.7231,0.9775
"D5","ENSG00000253483",0.2458,-4.9558,-3.2015,0.92
"D5","ENSG00000221740",0.4648,0.3977,0.6714,0.9535
"D5","ENSG00000226471",0.1996,0.8775,0.5565,0.92
"D5","ENSG00000221214",0.3215,1.3835,1.8385,0.9223
"D5","ENSG00000172602",0.3641,-1.5218,-1.1423,0.9223
"D5","ENSG00000137936",0.9191,-0.4169,-0.393,0.9948
"D5","ENSG00000119446",0.4676,2.1188,2.1957,0.9547
"D5","ENSG00000164074",0.7019,1.2853,1.236,0.9798
"D5","ENSG00000162728",0.2648,-2.7962,-3.244,0.92
"D5","ENSG00000218565",0.7392,-2.9785,-2.6446,0.9855
"D5","ENSG00000100105",0.3201,3.3284,3.4066,0.9223
"D5","ENSG00000113525",0.2384,-5.7808,-6.6439,0.92
"D5","ENSG00000187134",0.255,-6.1443,-6.6439,0.92
"D5","ENSG00000182566",0.4186,-3.2258,-2.4891,0.947
"D5","ENSG00000253666",0.7679,2.9522,2.8982,0.9911
"D5","ENSG00000280280",0.1025,1.743,1.1393,0.9137
"D5","ENSG00000273365",0.2587,-5.471,-6.6439,0.92
"D5","ENSG00000254340",0.5397,-3.199,-4.0145,0.9562
"D5","ENSG00000131089",0.1537,0.227,0.4196,0.92
"D5","ENSG00000146205",0.3486,-1.5505,-1.2921,0.9223
"D5","ENSG00000206077",0.9311,-3.5189,-3.5641,0.9948
"D5","ENSG00000167447",0.1547,2.7542,2.8774,0.92
"D5","ENSG00000284669",0.236,-4.3242,-6.6439,0.92
"D5","ENSG00000223705",0.1108,3.6481,3.7782,0.92
"D5","ENSG00000163406",0.4511,0.4887,0.3215,0.9503
"D5","ENSG00000132570",0.9902,0.8277,0.8289,0.9976
"D5","ENSG00000167615",0.6887,4.9829,4.9516,0.9798
"D5","ENSG00000237373",0.31,-1.3205,-2.3919,0.9223
"D5","ENSG00000241959",0.3893,-0.3121,-0.9304,0.9267
"D5","ENSG00000113946",0.0201,-6.6439,-6.6439,0.7321
"D5","ENSG00000226149",0.9458,-4.522,-4.5958,0.9969
"D5","ENSG00000284959",0.2589,-4.5023,-5.1171,0.92
"D5","ENSG00000142178",0.5593,0.3426,0.2636,0.966
"D5","ENSG00000229326",0.2596,-2.7386,-1.4168,0.92
"D5","ENSG00000066117",0.682,3.6117,3.64,0.9798
"D5","ENSG00000201794",0.286,-0.1584,0.7048,0.92
"D5","ENSG00000216141",0.4293,-1.7911,-1.2534,0.947
"D5","ENSG00000214212",0.3548,0.5639,0.9111,0.9223
"D5","ENSG00000123838",0.6667,-5.95,-6.2115,0.9786
"D5","ENSG00000100784",0.9131,-0.9956,-1.009,0.9948
"D5","ENSG00000261342",0.0743,1.2885,0.9319,0.8981
"D5","ENSG00000198792",0.7355,1.5398,1.5109,0.9855
"D5","ENSG00000248585",0.5127,-1.6086,-1.9072,0.9562
"D5","ENSG00000283265",0.2067,-5.3222,-6.6439,0.92
"D5","ENSG00000165948",0.7848,0.2111,0.2529,0.9922
"D5","ENSG00000119608",0.035,-0.3545,0.0077,0.8136
"D5","ENSG00000247925",0.9127,1.2457,1.2222,0.9948
"D5","ENSG00000232512",0.6206,-1.5067,-1.8249,0.9775
"D5","ENSG00000141337",0.775,2.2943,2.3133,0.9911
"D5","ENSG00000210196",0.1003,6.209,5.7625,0.9104
"D5","ENSG00000229474",0.1037,1.3688,1.5117,0.9137
"D5","ENSG00000163032",0.7234,-2.5424,-2.3528,0.9848
"D5","ENSG00000125780",0.219,-5.7056,-6.6439,0.92
"D5","ENSG00000180096",0.9382,3.5231,3.5294,0.9969
"D5","ENSG00000132321",0.6547,-4.6343,-4.9586,0.9786
"D5","ENSG00000181929",0.1651,2.7538,2.9533,0.92
"D6","ENSG00000239951",0.2084,5.8315,5.7123,0.9954
"D6","ENSG00000211638",0.4676,1.8923,1.6974,0.9954
"D6","ENSG00000253333",0.599,-3.8501,-4.9096,0.9954
"D6","ENSG00000230658",0.6319,-2.2838,-2.5295,0.9954
"D6","ENSG00000237525",0.7997,-4.5458,-4.8287,0.9954
"D6","ENSG00000183476",0.706,-4.368,-4.7411,0.9954
"D6","ENSG00000141858",0.2809,4.5396,4.4511,0.9954
"D6","ENSG00000101230",0.8213,-4.3621,-4.0867,0.9954
"D6","ENSG00000157837",0.3035,3.2283,3.3018,0.9954
"D6","ENSG00000146066",0.5165,5.6703,5.6338,0.9954
"D6","ENSG00000142512",0.5897,2.1879,2.1433,0.9954
"D6","ENSG00000183604",0.7378,2.9424,2.9151,0.9954
"D6","ENSG00000111266",0.4056,4.5879,4.6173,0.9954
"D6","ENSG00000226747",0.7467,-3.65,-3.9895,0.9954
"D6","ENSG00000178522",0.8815,-4.4586,-4.6047,0.9954
"D6","ENSG00000264456",0.8487,0.2652,0.21,0.9954
"D6","ENSG00000165475",0.4896,1.6179,1.5486,0.9954
"D6","ENSG00000128512",0.7686,-0.8623,-0.906,0.9954
"D6","ENSG00000204619",0.3297,3.967,3.8556,0.9954
"D6","ENSG00000248019",2e-04,-1.1566,-2.7863,0.08
"D6","ENSG00000232573",0.6091,2.2045,2.3367,0.9954
"D6","ENSG00000258388",0.9515,-0.7697,-0.7605,0.9988
"D6","ENSG00000181616",0.9772,-0.9217,-0.933,0.9998
"D6","ENSG00000167106",0.3473,4.5879,4.8951,0.9954
"D6","ENSG00000251568",0.4217,-1.7899,-2.4665,0.9954
"D6","ENSG00000135622",0.5281,-0.2737,-0.375,0.9954
"D6","ENSG00000140939",0.9834,2.0773,2.0742,0.9998
"D6","ENSG00000109814",0.3432,2.9635,2.8416,0.9954
"D6","ENSG00000111445",0.6176,1.6902,1.7441,0.9954
"D6","ENSG00000263001",0.2871,3.4523,3.5011,0.9954
"D6","ENSG00000265218",0.707,-0.3758,-0.4715,0.9954
"D6","ENSG00000130684",0.6774,2.765,2.8257,0.9954
"D6","ENSG00000214300",0.6593,2.0336,1.9548,0.9954
"D6","ENSG00000100567",0.707,3.8692,3.9067,0.9954
"D6","ENSG00000275467",0.1786,-1.0677,-2.9293,0.9954
"D6","ENSG00000160613",0.9026,2.8108,2.8164,0.9967
"D6","ENSG00000183308",0.5289,-0.4613,-0.1466,0.9954
"D6","ENSG00000277621",0.7899,-2.897,-2.449,0.9954
"D6","ENSG00000211452",0.6192,-0.7627,-0.5769,0.9954
"D6","ENSG00000278419",0.3403,-4.9884,-6.6439,0.9954
"D6","ENSG00000221944",0.6387,-0.2419,-1.3042,0.9954
"D6","ENSG00000183298",0.2386,-1.2109,-0.772,0.9954
"D6","ENSG00000227541",0.3404,-0.5333,-0.9817,0.9954
"D6","ENSG00000260317",0.7388,-1.6564,-1.4837,0.9954
"D6","ENSG00000260698",0.9293,-1.4771,-1.447,0.997
"D6","ENSG00000264071",0.7154,-2.9684,-2.3677,0.9954
"D6","ENSG00000261799",0.1998,2.1975,2.0204,0.9954
"D6","ENSG00000046653",0.6147,-0.1959,-0.0706,0.9954
"D6","ENSG00000108582",0.6395,1.9705,2.0256,0.9954
"D6","ENSG00000237991",0.6525,-4.327,-4.9697,0.9954
"D6","ENSG00000070404",0.0555,0.4172,0.8969,0.952
"D6","ENSG00000183337",0.4514,2.9373,3.007,0.9954
"D6","ENSG00000275379",0.5117,5.4977,5.4155,0.9954
"D6","ENSG00000103343",0.1687,1.9452,1.8076,0.9954
"D6","ENSG00000100319",0.3344,1.3223,1.1671,0.9954
"D6","ENSG00000204186",0.8223,2.0519,2.0247,0.9954
"D6","ENSG00000067334",0.9442,1.6094,1.6398,0.9982
"D6","ENSG00000112305",0.3245,2.2435,2.1305,0.9954
"D6","ENSG00000269066",0.3572,0.2502,0.6441,0.9954
"D6","ENSG00000008282",0.8437,3.1783,3.213,0.9954
"D6","ENSG00000111832",0.3548,1.6211,1.721,0.9954
"D6","ENSG00000155307",0.4387,3.5547,3.6304,0.9954
"D6","ENSG00000244730",0.5904,0.857,1.5937,0.9954
"D6","ENSG00000231969",0.1568,-0.2446,0.2902,0.9954
"D6","ENSG00000114948",0.5565,0.6873,0.7634,0.9954
"D6","ENSG00000143486",0.6491,3.7567,3.7348,0.9954
"D6","ENSG00000259088",0.1016,2.0709,1.7436,0.9954
"D6","ENSG00000130449",0.2675,1.5583,1.635,0.9954
"D6","ENSG00000283683",0.1705,-4.0659,-2.6365,0.9954
"D6","ENSG00000124789",0.8696,4.5791,4.5677,0.9954
"D6","ENSG00000274290",0.9726,3.5666,3.5699,0.9998
"D6","ENSG00000176209",0.6318,1.5289,1.5755,0.9954
"D6","ENSG00000123094",0.3352,-5.6635,-6.2412,0.9954
"D6","ENSG00000279434",0.9934,-0.3033,-0.301,0.9998
"D6","ENSG00000267375",0.2538,-0.2479,-0.8101,0.9954
"D6","ENSG00000259999",0.018,-0.8956,-2.7139,0.8549
"D6","ENSG00000198911",0.9172,5.5668,5.5728,0.997
"D6","ENSG00000228923",0.0604,-0.4983,0.5415,0.9528
"D6","ENSG00000133773",0.9728,2.5032,2.5074,0.9998
"D6","ENSG00000272109",0.9324,0.1021,0.1486,0.997
"D6","ENSG00000151503",0.7762,1.9675,1.9466,0.9954
"D6","ENSG00000231527",0.6359,0.4767,0.3752,0.9954
"D6","ENSG00000156970",0.6064,1.2792,1.2329,0.9954
"D6","ENSG00000273045",0.9576,-3.3142,-3.2647,0.9995
"D6","ENSG00000254726",0.2059,-2.6585,-3.1112,0.9954
"D6","ENSG00000226981",0.2504,-5.6411,-4.2429,0.9954
"D6","ENSG00000260793",0.9559,-0.4569,-0.479,0.9995
"D6","ENSG00000279957",0.6999,0.013,0.1425,0.9954
"D6","ENSG00000160229",0.9651,0.9496,0.9424,0.9998
"D6","ENSG00000251442",0.3881,-3.3266,-4.1035,0.9954
"D6","ENSG00000253697",0.1873,0.6321,-0.0391,0.9954
"D6","ENSG00000263968",0.8894,1.6384,1.5957,0.9954
"D6","ENSG00000249119",0.0223,-0.975,-2.31,0.8566
"D6","ENSG00000176903",0.7783,3.8023,3.7773,0.9954
"D6","ENSG00000164176",0.533,-6.4865,-6.6439,0.9954
"D6","ENSG00000058866",0.1261,-0.0258,0.1527,0.9954
"D6","ENSG00000224707",0.8976,0.4411,0.3868,0.9967
"D6","ENSG00000244617",0.2711,-1.6473,-2.5113,0.9954
"D6","ENSG00000157379",0.0721,1.7163,1.9349,0.9742
"D6","ENSG00000277662",0.9365,0.2784,0.2437,0.997
"D6","ENSG00000124097",0.3104,-0.7189,-0.2029,0.9954
"D6","ENSG00000206808",0.1726,-3.0168,-0.8942,0.9954
"D6","ENSG00000206903",0.2597,-2.9915,-5.0456,0.9954
"D6","ENSG00000157456",0.842,1.7773,1.7985,0.9954
"D6","ENSG00000229243",0.9295,-5.9846,-5.918,0.997
"D6","ENSG00000251792",0.8476,-2.7753,-3.0929,0.9954
"D6","ENSG00000251805",0.778,0.5728,0.7477,0.9954
"D6","ENSG00000254352",0.4992,0.3411,0.7556,0.9954
"D6","ENSG00000226268",0.4716,-1.1409,-0.8597,0.9954
"D6","ENSG00000198056",0.2615,2.0131,2.1963,0.9954
"D6","ENSG00000116396",0.0101,1.6819,1.8552,0.824
"D6","ENSG00000203814",0.8268,4.1015,4.1264,0.9954
"D6","ENSG00000215032",0.5312,0.9185,1.0568,0.9954
"D6","ENSG00000281179",0.7225,2.0989,2.0492,0.9954
"D6","ENSG00000154645",0.2275,-2.9351,-1.9818,0.9954
"D6","ENSG00000232082",0.1757,0.2524,-0.1696,0.9954
"D6","ENSG00000011295",0.1502,2.5668,2.7329,0.9954
"D6","ENSG00000279583",0.8771,0.9585,1.0883,0.9954
"D6","ENSG00000243498",0.4855,0.4329,0.0821,0.9954
"D6","ENSG00000258137",0.746,-4.3803,-4.1111,0.9954
"D6","ENSG00000253456",0.8712,0.8166,0.7841,0.9954
"D6","ENSG00000205413",0.8404,4.1234,4.1566,0.9954
"D6","ENSG00000223156",0.637,-3.3544,-2.5982,0.9954
"D6","ENSG00000233044",0.8121,0.1001,-0.035,0.9954
"D6","ENSG00000280216",0.5204,-1.705,-2.7119,0.9954
"D6","ENSG00000165406",0.4838,2.8276,2.7875,0.9954
"D6","ENSG00000162819",0.7891,2.6001,2.5593,0.9954
"D6","ENSG00000237073",0.9973,-0.9202,-0.9167,0.9998
"D6","ENSG00000235904",0.2459,-4.4476,-5.476,0.9954
"D6","ENSG00000239713",0.9683,3.8106,3.8128,0.9998
"D6","ENSG00000237646",0.602,-0.5366,-0.8419,0.9954
"D6","ENSG00000278816",0.8444,-2.0407,-1.7983,0.9954
"D6","ENSG00000126804",0.7496,2.9524,2.8627,0.9954
"D6","ENSG00000278399",0.59,-3.766,-4.3477,0.9954
"D6","ENSG00000275854",0.296,0.2427,0.7033,0.9954
"D6","ENSG00000140612",0.9017,3.167,3.1548,0.9967
"D6","ENSG00000252615",0.5867,-1.7557,-0.8849,0.9954
"D6","ENSG00000221510",0.3931,-0.6646,0.1573,0.9954
"D6","ENSG00000125122",0.5068,0.6612,0.5374,0.9954
"D6","ENSG00000178201",0.2313,-0.5235,-0.2671,0.9954
"D6","ENSG00000227290",0.0184,-1.108,-1.997,0.8549
"D6","ENSG00000170509",0.4375,-6.1156,-6.6439,0.9954
"D6","ENSG00000238009",0.9849,-5.6626,-5.644,0.9998
"D6","ENSG00000146828",0.6432,1.9804,2.0359,0.9954
"D6","ENSG00000145757",0.7323,-3.5014,-3.1485,0.9954
"D6","ENSG00000270871",0.9769,2.6021,2.5978,0.9998
"D6","ENSG00000136936",0.9816,2.1829,2.1772,0.9998
"D6","ENSG00000279278",0.3686,-0.8075,-0.971,0.9954
"D6","ENSG00000262209",0.5604,-0.8317,-0.9463,0.9954
"D6","ENSG00000265975",0.3786,0.2775,0.5674,0.9954
"D6","ENSG00000141452",0.9149,4.0176,4.0235,0.997
"D6","ENSG00000168036",0.0329,3.1436,3.2714,0.952
"D6","ENSG00000206715",0.4956,0.0185,0.5267,0.9954
"D6","ENSG00000130711",0.8425,-5.1738,-5.4039,0.9954
"D6","ENSG00000169188",0.8286,2.6455,2.6617,0.9954
"D6","ENSG00000243686",0.6379,1.1377,0.501,0.9954
"D6","ENSG00000171492",0.2124,3.3671,3.4914,0.9954
"D6","ENSG00000265018",0.4037,2.8541,2.9558,0.9954
"D6","ENSG00000263766",0.8085,-0.3933,-0.531,0.9954
"D6","ENSG00000160404",0.691,0.0389,-0.0252,0.9954
"D6","ENSG00000244540",0.1413,-2.2136,0.0357,0.9954
"D6","ENSG00000273234",0.7006,-4.6042,-5.1442,0.9954
"D6","ENSG00000228590",0.0484,-1.2187,-0.4506,0.952
"D6","ENSG00000179141",0.6362,-3.8691,-3.5293,0.9954
"D6","ENSG00000118503",0.3618,6.4158,6.4563,0.9954
"D6","ENSG00000121879",0.492,3.3223,3.4274,0.9954
"D6","ENSG00000070371",0.8655,-5.2109,-5.126,0.9954
"D6","ENSG00000260954",0.7998,-2.3741,-2.6111,0.9954
"D6","ENSG00000279507",0.0232,1.089,0.1076,0.8593
"D6","ENSG00000243871",0.2674,-2.0312,-3.1891,0.9954
"D6","ENSG00000226977",0.3032,-0.5244,0.2667,0.9954
"D6","ENSG00000196620",0.4265,-5.4784,-6.6439,0.9954
"D6","ENSG00000254838",0.7969,3.1734,3.1965,0.9954
"D6","ENSG00000170430",0.2898,1.702,1.8241,0.9954
"D6","ENSG00000144741",0.687,1.8216,1.8767,0.9954
"D6","ENSG00000110900",0.9363,-0.0055,0.064,0.997
"D6","ENSG00000146856",0.6941,-0.1869,-0.1245,0.9954
"D6","ENSG00000112118",0.2048,4.4365,4.5166,0.9954
"D6","ENSG00000057663",0.1241,1.6876,1.8896,0.9954
"D6","ENSG00000128917",0.2197,-1.6679,-2.0693,0.9954
"D6","ENSG00000239246",0.7098,0.8138,0.7269,0.9954
"D6","ENSG00000181449",0.2202,-6.4738,-5.8366,0.9954
"D6","ENSG00000227176",0.0561,0.5443,1.0391,0.952
"D6","ENSG00000141994",0.9881,2.3953,2.3976,0.9998
"D6","ENSG00000166743",0.7752,-5.5845,-5.804,0.9954
"D6","ENSG00000271870",0.7781,2.5601,2.6198,0.9954
"D6","ENSG00000007384",0.042,-1.8025,-2.2828,0.952
"D6","ENSG00000105327",0.639,2.7245,2.7926,0.9954
"D6","ENSG00000230649",0.4957,-2.3579,-3.2723,0.9954
"D6","ENSG00000259187",0.7125,-5.0108,-4.4414,0.9954
"D6","ENSG00000254099",0.8193,-1.5708,-1.3206,0.9954
"D6","ENSG00000166582",0.0794,2.5719,2.729,0.9742
"D6","ENSG00000237770",0.6844,-2.4087,-2.2666,0.9954
"D6","ENSG00000152778",0.9053,4.4198,4.4305,0.997
"D6","ENSG00000203995",0.3975,1.8059,1.8842,0.9954
"D6","ENSG00000272798",0.4885,-1.9055,-1.2221,0.9954
"D6","ENSG00000106336",0.9804,-2.7167,-2.6985,0.9998
"D6","ENSG00000124541",0.1193,3.5496,3.6949,0.9954
"D6","ENSG00000126001",0.0885,1.5126,1.3059,0.9954
"D6","ENSG00000232162",0.2205,1.3196,1.0216,0.9954
"D6","ENSG00000259327",0.4966,-6.0627,-5.4759,0.9954
"D6","ENSG00000170759",0.6294,4.6873,4.6407,0.9954
"D6","ENSG00000263338",0.1421,-0.7521,-1.4259,0.9954
"D6","ENSG00000107147",0.9749,-4.7725,-4.7605,0.9998
"D6","ENSG00000141101",0.7778,5.0195,5.0468,0.9954
"D6","ENSG00000236449",0.5505,-0.7581,-0.6495,0.9954
"D6","ENSG00000159339",0.7309,-3.3706,-3.093,0.9954
"D6","ENSG00000107014",0.5943,-0.4366,-0.2091,0.9954
"D6","ENSG00000072694",0.9577,3.0458,3.0501,0.9995
"D6","ENSG00000178163",0.4698,2.4645,2.5345,0.9954
"D6","ENSG00000237399",0.3482,-0.2813,0.2049,0.9954
"D6","ENSG00000117362",0.7587,3.6485,3.6859,0.9954
"D6","ENSG00000168955",0.453,-2.5334,-2.2073,0.9954
"D6","ENSG00000145780",0.9932,2.978,2.9789,0.9998
"D6","ENSG00000066933",0.5348,2.037,1.9781,0.9954
"D6","ENSG00000198909",0.0492,2.7168,2.5639,0.952
"D6","ENSG00000115129",0.5219,1.518,1.3958,0.9954
"D6","ENSG00000271992",0.1835,2.8124,3.0359,0.9954
"D6","ENSG00000161888",0.5255,-0.6904,-0.4686,0.9954
"D6","ENSG00000279629",0.1924,-3.8279,-5.8464,0.9954
"D6","ENSG00000211869",0.8829,0.3655,0.2737,0.9954
"D6","ENSG00000163218",0.4835,-3.0836,-3.6281,0.9954
"D6","ENSG00000232466",0.9188,1.8566,1.8284,0.997
"D6","ENSG00000272501",0.6026,1.31,1.2528,0.9954
"D6","ENSG00000120942",0.9342,2.1893,2.1825,0.997
"D6","ENSG00000269901",0.0404,0.3404,1.1009,0.952
"D6","ENSG00000229473",0.8121,1.8547,1.8029,0.9954
"D6","ENSG00000279114",0.5762,-2.5415,-2.3599,0.9954
"D6","ENSG00000122778",0.673,-1.0073,-0.9511,0.9954
"D6","ENSG00000164591",0.9931,-3.4861,-3.4824,0.9998
"D6","ENSG00000254266",0.615,-1.787,-1.4119,0.9954
"D6","ENSG00000167604",0.6458,3.4244,3.4529,0.9954
