"gene_compare","log2fc_p","gene","compare"
"ENSG00000054179 D5/D6",0.142986722602287,"ENSG00000054179","D5/D6"
"ENSG00000151640 D5/D6",0.983046700429248,"ENSG00000151640","D5/D6"
"ENSG00000203910 D5/D6",0.0472554613901133,"ENSG00000203910","D5/D6"
"ENSG00000160683 D5/D6",0.793043451168482,"ENSG00000160683","D5/D6"
"ENSG00000259935 D5/D6",0.879143925250693,"ENSG00000259935","D5/D6"
"ENSG00000269107 D5/D6",0.795981104678212,"ENSG00000269107","D5/D6"
"ENSG00000231701 D5/D6",0.00104472927262261,"ENSG00000231701","D5/D6"
"ENSG00000226377 D5/D6",0.062747711784364,"ENSG00000226377","D5/D6"
"ENSG00000174792 D5/D6",0.831817253997995,"ENSG00000174792","D5/D6"
"ENSG00000254027 D5/D6",0.877937214860366,"ENSG00000254027","D5/D6"
"ENSG00000265008 D5/D6",0.977233363158868,"ENSG00000265008","D5/D6"
"ENSG00000181616 D5/D6",0.20304588277554,"ENSG00000181616","D5/D6"
"ENSG00000158869 D5/D6",0.142900441105548,"ENSG00000158869","D5/D6"
"ENSG00000111961 D5/D6",0.591477100847823,"ENSG00000111961","D5/D6"
"ENSG00000128683 D5/D6",0.74412854481175,"ENSG00000128683","D5/D6"
"ENSG00000173406 D5/D6",0.993942298206691,"ENSG00000173406","D5/D6"
"ENSG00000279372 D5/D6",0.256613461589333,"ENSG00000279372","D5/D6"
"ENSG00000223754 D5/D6",0.142081587981692,"ENSG00000223754","D5/D6"
"ENSG00000255949 D5/D6",0.794575879052273,"ENSG00000255949","D5/D6"
"ENSG00000228923 D5/D6",0.558593218954728,"ENSG00000228923","D5/D6"
"ENSG00000214578 D5/D6",0.275835437967112,"ENSG00000214578","D5/D6"
"ENSG00000223505 D5/D6",0.437014837048092,"ENSG00000223505","D5/D6"
"ENSG00000069696 D5/D6",0.15104834181011,"ENSG00000069696","D5/D6"
"ENSG00000008394 D5/D6",0.0987401389442833,"ENSG00000008394","D5/D6"
"ENSG00000150967 D5/D6",0.487699834930194,"ENSG00000150967","D5/D6"
"ENSG00000222009 D5/D6",0.0177401477008218,"ENSG00000222009","D5/D6"
"ENSG00000149654 D5/D6",0.196317405174382,"ENSG00000149654","D5/D6"
"ENSG00000179141 D5/D6",0.654805079438787,"ENSG00000179141","D5/D6"
"ENSG00000275645 D5/D6",0.295304803584047,"ENSG00000275645","D5/D6"
"ENSG00000273179 D5/D6",0.16430323196298,"ENSG00000273179","D5/D6"
"ENSG00000283239 D5/D6",0.901831207325843,"ENSG00000283239","D5/D6"
"ENSG00000124813 D5/D6",0.231001631139649,"ENSG00000124813","D5/D6"
"ENSG00000078114 D5/D6",0.875334390876137,"ENSG00000078114","D5/D6"
"ENSG00000219693 D5/D6",0.282390333801776,"ENSG00000219693","D5/D6"
